book,window,regime,days,pct_days,sum_log_net,sum_rel,sharpe,avg_gross,dd_share
trend_vol_qqq,W1,R4:rising_be,78,31.0,0.2674,0.0554,4.93,,0.02
trend_vol_qqq,W1,R5:risk_on,174,69.0,0.1876,0.0088,1.38,,0.64
trend_vol_qqq,W1,R5:risk_off,78,31.0,0.1144,0.0476,1.59,,0.36
trend_vol_qqq,W1,R6:persistent,225,89.3,0.2911,0.1097,1.53,,0.87
trend_vol_qqq,W1,R6:choppy,27,10.7,0.0109,-0.0533,0.62,,0.13
trend_vol_qqq,W2,R1:bull,950,75.6,0.9885,0.4596,1.17,1.52,1.0
trend_vol_qqq,W2,R1:bear,306,24.4,0.1137,-0.0738,1.79,0.9,-0.0
trend_vol_qqq,W2,R2:low,830,66.1,0.5863,0.32,0.86,1.49,0.82
trend_vol_qqq,W2,R2:high,361,28.7,0.4805,0.2105,1.89,1.14,0.18
trend_vol_qqq,W2,R2:crisis,65,5.2,0.0354,-0.1448,4.01,1.01,-0.0
trend_vol_qqq,W2,R3:falling,639,50.9,0.7032,0.1312,1.31,,0.51
trend_vol_qqq,W2,R3:rising,617,49.1,0.399,0.2546,0.89,,0.49
trend_vol_qqq,W2,R4:rising_be,783,62.3,0.4353,0.1747,0.75,,0.97
trend_vol_qqq,W2,R4:falling_be,473,37.7,0.6669,0.2111,1.7,,0.03
trend_vol_qqq,W2,R5:risk_off,388,30.9,0.6993,-0.2192,2.25,,0.1
trend_vol_qqq,W2,R5:risk_on,868,69.1,0.4029,0.605,0.63,,0.9
trend_vol_qqq,W2,R6:persistent,937,74.6,0.9222,0.0431,1.17,,0.77
trend_vol_qqq,W2,R6:choppy,319,25.4,0.18,0.3427,0.91,,0.23
defensive_ensemble,W1,R1:bull,208,82.5,0.3132,0.2238,2.36,1.95,0.93
defensive_ensemble,W1,R1:bear,44,17.5,0.0355,0.0025,2.0,1.05,0.07
defensive_ensemble,W1,R2:low,202,80.2,0.1992,0.1539,1.79,1.79,0.42
defensive_ensemble,W1,R2:high,48,19.0,0.1264,0.0647,3.4,1.81,0.58
defensive_ensemble,W1,R2:crisis,2,0.8,0.023,0.0077,,1.58,-0.0
defensive_ensemble,W1,R3:falling,180,71.4,0.2228,0.1458,2.14,,0.6
defensive_ensemble,W1,R3:rising,72,28.6,0.1258,0.0806,2.63,,0.4
defensive_ensemble,W1,R4:falling_be,174,69.0,0.2069,0.1717,1.9,,0.94
defensive_ensemble,W1,R4:rising_be,78,31.0,0.1417,0.0547,3.32,,0.06
defensive_ensemble,W1,R5:risk_on,174,69.0,0.2804,0.1813,2.81,,0.7
defensive_ensemble,W1,R5:risk_off,78,31.0,0.0682,0.045,1.34,,0.3
defensive_ensemble,W1,R6:persistent,225,89.3,0.334,0.2377,2.5,,0.59
defensive_ensemble,W1,R6:choppy,27,10.7,0.0146,-0.0114,0.83,,0.41
defensive_ensemble,W2,R1:bull,950,75.6,0.7084,0.405,1.26,1.95,1.0
defensive_ensemble,W2,R1:bear,306,24.4,0.1983,0.0757,1.79,1.82,-0.0
defensive_ensemble,W2,R2:low,830,66.1,0.4878,0.301,1.05,1.93,0.74
defensive_ensemble,W2,R2:high,361,28.7,0.2913,0.1612,1.63,1.92,0.26
defensive_ensemble,W2,R2:crisis,65,5.2,0.1277,0.0185,3.31,1.89,-0.0
defensive_ensemble,W2,R3:falling,639,50.9,0.4437,0.1219,1.22,,0.88
defensive_ensemble,W2,R3:rising,617,49.1,0.463,0.3588,1.44,,0.12
defensive_ensemble,W2,R4:rising_be,783,62.3,0.4033,0.2146,0.96,,0.39
defensive_ensemble,W2,R4:falling_be,473,37.7,0.5034,0.2661,1.94,,0.61
defensive_ensemble,W2,R5:risk_off,388,30.9,0.3212,-0.0765,1.42,,0.61
defensive_ensemble,W2,R5:risk_on,868,69.1,0.5855,0.5572,1.28,,0.39
defensive_ensemble,W2,R6:persistent,937,74.6,0.7897,0.2621,1.49,,-0.0
defensive_ensemble,W2,R6:choppy,319,25.4,0.117,0.2186,0.77,,1.0
dual_momentum_gold,W1,R1:bull,208,82.5,0.4956,0.4186,1.68,1.5,0.89
dual_momentum_gold,W1,R1:bear,44,17.5,0.0605,0.0267,0.97,1.5,0.11
dual_momentum_gold,W1,R2:low,202,80.2,0.3877,0.3813,1.43,1.5,0.42
dual_momentum_gold,W1,R2:high,48,19.0,0.1135,0.0333,1.43,1.5,0.58
dual_momentum_gold,W1,R2:crisis,2,0.8,0.0548,0.0307,,1.5,-0.0
