design,book,mean,p_gt0,ci_lo,ci_hi
equal_capital,dual_momentum_gold,0.007797583656658881,0.55825,-0.07959792543770644,0.09634989051846121
equal_capital,dual_momentum_gem,-0.00994688173409703,0.374,-0.06969710873800841,0.050289756391441766
equal_capital,momentum_concentrated,-0.03686170769955103,0.08825,-0.0915804286236062,0.015598535933274555
equal_risk,dual_momentum_gold,0.003332557881026036,0.53075,-0.07014314330460408,0.07795350187589828
equal_risk,dual_momentum_gem,-0.009942495776437252,0.3555,-0.06363166743143667,0.045690903275755534
equal_risk,momentum_concentrated,-0.0562226902952893,0.06875,-0.13004771707554824,0.01700971695001709
