design,book,sharpe,cagr,ann_vol,max_dd,worst_12m,alpha_ann,alpha_t,beta_spy,beta_qqq,d_sharpe,d_ret_eqvol,d_max_dd,d_worst12m,boot_p_gt0,boot_lo,boot_hi,resid_alpha_ann,resid_alpha_t,corr_to_ctrl,d_turnover,sub_H1,sub_H2,sub_T1,sub_T2,sub_T3
equal_capital,CONTROL(4promoted),0.9878527966799606,0.20383787265172826,0.2103770884904032,-0.3064197623859435,-0.26205112615239956,0.06965246549238212,2.8192156115797204,-0.24258364550930472,1.0076134708039215,0.0,0.0,0.0,0.0,,,,,,,,,,,,
equal_capital,dual_momentum_gold,0.9947830012660298,0.2056000310658206,0.203988260171779,-0.26372539747756496,-0.25106639287131105,0.07184784836202433,2.853691567082079,-0.24150532413037,0.9642104724270283,0.0069302045860691885,0.0017621584140923297,0.042694364908378524,0.01098473328108851,0.55825,-0.07959792543770644,0.09634989051846121,0.030896295351865517,0.6480810187251087,0.5733608767408914,-0.0040488458108405775,0.005259187785485286,0.0016822290319227218,0.021030258535656432,-0.06977924414195302,0.05762959540809609
equal_capital,dual_momentum_gem,0.9772507597432315,0.20116310428620388,0.2099385323423946,-0.25292088909553845,-0.23197535833791272,0.06534804486680579,2.749349782980631,-0.23161655569533515,1.009474402665596,-0.01060203693672912,-0.0026747683655243826,0.053498873290405036,0.030075767814486842,0.374,-0.06969710873800841,0.050289756391441766,0.0025882145335260837,0.07034762876407757,0.7522666930755239,-0.005415925064489201,-0.0032001377141211984,-0.025591041446645146,0.014474463033057328,-0.03852804103251195,-0.016409756057044422
equal_capital,momentum_concentrated,0.9505189011699863,0.19441529974869565,0.1888885063062544,-0.2517324590793296,-0.21392268050086538,0.05524971056419394,2.5083975001677903,-0.19906279863129847,0.8923982359131039,-0.037333895509974346,-0.009422572903032611,0.054687303306613866,0.04812844565153418,0.08825,-0.0915804286236062,0.015598535933274555,-0.026496111953459453,-0.9489547743298781,0.5887428486832249,-0.0036910533312507557,-0.008878123817515404,-0.07298925189734895,1.1102230246251565e-16,-0.07110866842191288,-0.04936900462253524
equal_risk,CONTROL(4promoted),0.9973267423000289,0.19435029087745614,0.19785857252600095,-0.26870672656491335,-0.22779017270870638,0.07014693763003398,2.869289762636467,-0.2533905369763218,0.9495149550300851,0.0,0.0,0.0,0.0,,,,,,,,,,,,
equal_risk,dual_momentum_gold,0.9999898787717927,0.1949845662102736,0.19501685485517486,-0.2431147283562901,-0.22476131618614736,0.07188063331558733,2.8794166159543777,-0.2507114602728218,0.9232316897888238,0.0026631364717637496,0.0006342753328174577,0.025591998208623234,0.0030288565225590203,0.53075,-0.07014314330460408,0.07795350187589828,0.023012791437683772,0.4930947134893317,0.5972847385091579,-0.0033708289840664388,-0.0006955389117346833,0.0006612823813063606,0.011269344122133651,-0.055685230760985416,0.04265271065225251
equal_risk,dual_momentum_gem,0.9869172175224019,0.19189841799427465,0.19945938280530415,-0.24426428993586569,-0.20738519235159225,0.06637879961565923,2.8028690056171093,-0.2421558469418231,0.9610510119896088,-0.010409524777627022,-0.002451872883181494,0.02444243662904766,0.020404980357114133,0.3555,-0.06363166743143667,0.045690903275755534,0.0002411007203610799,0.006575335813486566,0.7542323471145375,-0.004658094391007818,-0.006007854845630156,-0.02084434754150344,0.009676860659007192,-0.028945585641255156,-0.019479432201302105
equal_risk,momentum_concentrated,0.9408084452093403,0.18106511775252532,0.1749216497581123,-0.24008794132698863,-0.17430246353589784,0.05200021648869143,2.4192664566013358,-0.19622582550336895,0.8198800990361428,-0.056518297090688674,-0.013285173124930827,0.028618785237924715,0.05348770917280854,0.06875,-0.13004771707554824,0.01700971695001709,-0.02751730010674509,-0.9862178719605709,0.5895589698077657,-0.004653060186730944,-0.014567996867624333,-0.09914493731210472,0.0,-0.0961520202188203,-0.07574058178844201
