cluster,benefit,risk_premium,vol_clustering,ret_vol_asym,dd_convexity
US-equity,0.03975160205610395,0.10135824956642403,0.31137528508513707,-0.0989575441509264,1.7772453536983015
commodities,0.01665823131308991,0.04917009148483462,0.16910749249876994,-0.0367491635136029,1.4627557541666274
intl-equity,0.005852758697044325,0.06999420047536092,0.21935675688600986,-0.0840401879598934,1.8849597029126826
rates,0.016972026509890714,0.018783610099882084,0.280941168462931,0.010697196872435604,1.1327066944606634
real-estate,0.05081611559434651,0.09075084633035979,0.3743732430709066,-0.08685844786671477,1.7288361270890396
