h,n,coef_z,t_z,ci_lo,ci_hi,nw_lag
5,774,-0.0004439663526970301,-0.8990583640615651,-0.0014118390582632194,0.0005239063528691592,6
21,771,0.0013800314770813524,1.524590286803584,-0.0003941249756338177,0.0031541879297965225,6
63,765,0.0031569492659968036,1.3402615023719198,-0.0014597770597263712,0.007773675591719978,6
