date,full_survivor,floor3.0_surv,floor2.5_surv,floor2.0_surv,floor1.75_surv,full_pit,floor2.0_pit
2018-06-27,-0.002519659288279824,-0.0024119755870200877,-0.00222945196526338,-0.0014288277712445688,-0.0012294640514293454,-0.0007312501858492185,0.0003118405456950865
2018-06-28,0.0011213286200137966,0.0010581572755431244,0.0011631829035353548,0.0015639189834273683,0.001252142932763745,0.0011610443677510427,0.0017527283907936859
2018-06-29,0.0019263266533604772,0.0018811134768984014,0.0017284436774713493,0.0018122363499442971,0.001803539392942408,0.001635060947009776,0.0015777583239182653
2018-07-02,0.0004215241646565631,0.0003073352207796158,0.00021641952534957626,-0.00036545668066182335,0.0003883560734648189,-0.0001885178369082764,-0.0006946713879759333
2018-07-03,-0.0007771389077179496,-0.0007877771343828622,-0.0007546178793082495,-0.00039098693911805444,-0.0002597202787891403,-0.000837337331747623,-0.0005371648817268805
2018-07-05,-0.0013179627601027566,-0.0014082740816313602,-0.0016061993174507803,-0.0017518275924198112,-0.0020024566316051047,-0.0008407291049647112,-0.0012347842883946075
2018-07-06,-0.0005986885356629946,-0.0005249550995711289,-0.0005690991681285963,-0.0005847416957863202,-0.0006611554381921142,-0.0006216819902755404,-0.0005571168499179085
2018-07-09,0.002201598358523292,0.0022284484213055023,0.0022406206286597744,0.002076952786202858,0.0017249258951417068,0.0018889421948769473,0.0016147567002749014
2018-07-10,0.0015341442426303749,0.0015341831038077406,0.0015655034737512249,0.0019851639261182713,0.0014503392583623072,0.0013506916021807525,0.0018901318178742403
2018-07-11,-0.0008699417209180948,-0.0008779017016462603,-0.00091125449666187,-0.0009175958201178,-0.00028752287398518426,-0.0013177868989673696,-0.001439997233202337
2018-07-12,6.049361670231444e-05,6.787441794418983e-05,7.150046012869047e-05,4.322745881872814e-05,0.00020306588670792643,0.0005652754302453342,0.0006513013601663106
2018-07-13,0.00010877567827393845,0.00010053958823390925,0.00020894403236279053,8.138092983601649e-05,0.0003125210543078868,0.0003763081232648284,0.0003410497269442366
2018-07-16,-0.0012810982767483222,-0.0012850582381091437,-0.00129817266445312,-0.0012632794700151407,-0.0009414937407044713,-0.0010950013764310458,-0.0009591954996257512
2018-07-17,0.000882954565405527,0.0008242673449261385,0.0008206855075828023,0.0006408142302781519,0.0006409080514369657,0.00047300233847992685,0.0002473901107407874
2018-07-18,0.002718324984812372,0.002451308902184708,0.002051573617926615,0.0018444670079606545,0.0015718303276941524,0.0032149946654906588,0.0023290956401689623
2018-07-19,-0.00019797374433930845,-0.00015513689246121897,-0.0001402665914078091,-8.2954159825088e-05,-0.00018066495923562434,-8.492572597244852e-05,-0.00018345780309607054
2018-07-20,-0.0010649610302993283,-0.001072549085703099,-0.0010942578102367704,-0.0008980581366460212,-0.0008006496345252,-0.0010831482455039715,-0.0008729178993494503
