Date,pairs_net
2019-01-07,-0.000494044711433761
2019-01-08,0.0003421386708441276
2019-01-09,0.0008578304990297103
2019-01-10,0.0007705737919106825
2019-01-11,0.0004925522338871047
2019-01-14,0.0003366056894627367
2019-01-15,-0.0008233118958010021
2019-01-16,0.0011018820778925264
2019-01-17,0.0014716909531376787
2019-01-18,0.0005738918246329972
2019-01-22,-0.0010340478187520375
2019-01-23,0.0012680825792367601
2019-01-24,0.00015937892378921735
2019-01-25,0.0006965218172666754
2019-01-28,9.747580933113343e-05
2019-01-29,0.0005055165436689024
2019-01-30,0.00039298754731511345
2019-01-31,-0.0015308765944554682
2019-02-01,0.0007732518309834235
2019-02-04,-0.00035947341592052374
2019-02-05,0.000990404499382911
2019-02-06,-0.000516712751302757
2019-02-07,-8.854371224188195e-05
2019-02-08,0.0007616524308300576
2019-02-11,-0.00041118573036758255
2019-02-12,0.0002858898418693667
2019-02-13,0.0005824328890287412
2019-02-14,0.0003611751818137399
2019-02-15,0.0003442694489068332
2019-02-19,-0.0005267924693762716
2019-02-20,0.0009948831126625301
2019-02-21,-0.00026166033171736157
2019-02-22,0.00011818280228006018
2019-02-25,0.002074489696286348
2019-02-26,-0.0007349264525161558
2019-02-27,0.0005084236010324795
2019-02-28,-0.000613639724256223
2019-03-01,2.730701352626763e-06
2019-03-04,0.0017159708087461168
2019-03-05,-0.00035763435171946465
2019-03-06,-0.0006037310459059042
2019-03-07,-0.00027186901174307775
2019-03-08,1.8679050777803408e-05
2019-03-11,0.00040372815086378247
2019-03-12,-0.002099736198311937
2019-03-13,7.850254323251926e-05
2019-03-14,0.0008818481240754617
2019-03-15,-0.0004222870631136644
2019-03-18,-0.00012119613854729704
2019-03-19,-0.00029694308869810727
2019-03-20,-0.00020295327204769006
2019-03-21,-0.0007234402164677789
2019-03-22,-0.0012028351784592385
2019-03-25,0.0008915789559915965
2019-03-26,-0.0008032403638454588
2019-03-27,-2.950326400761094e-05
2019-03-28,0.0008901783837398259
2019-03-29,0.0005344358069986477
2019-04-01,0.0018899645346719617
2019-04-02,-0.0009564889970858692
2019-04-03,0.00041983324466516204
2019-04-04,0.0006432430902402708
2019-04-05,0.0005407369834283893
2019-04-08,0.00014849137555797976
2019-04-09,-0.0003049568226627164
2019-04-10,0.0005418531320950403
2019-04-11,-0.0006584101700188261
2019-04-12,0.0011590880984116382
2019-04-15,0.0002458338710955799
2019-04-16,0.0013916273760510034
2019-04-17,1.4665162567757407e-05
2019-04-18,-0.0010774034844500812
2019-04-22,-0.0005181757602791071
2019-04-23,-0.0009755300838137293
2019-04-24,-0.00036822982465122277
2019-04-25,-0.0005833854224008017
2019-04-26,-0.0002526771512988768
2019-04-29,0.0005166752390962582
2019-04-30,-0.00023979532521657633
2019-05-01,5.273363059120184e-05
2019-05-02,0.00040643210953933195
2019-05-03,0.0009044728018812598
2019-05-06,-0.0005018054150074147
2019-05-07,-0.0009578220716042152
2019-05-08,-0.00023967017900178967
2019-05-09,-0.0011254486835770038
2019-05-10,-0.0012715632953993184
2019-05-13,-0.0013899926886160173
2019-05-14,-0.0005169033276395841
2019-05-15,-0.0005519748374606181
