Date,net_orig,net_rep,net_absdiff,maxw_absdiff,gross_orig,gross_rep
2025-07-11,-0.005327095402010915,-0.005327095402010915,0.0,0.0,2.0,2.0
2025-07-14,0.0031528591796325172,0.0031528591796325172,0.0,0.0,2.0,2.0
2025-07-15,-0.0011785840927094823,-0.0011785840927094823,0.0,0.0,2.0,2.0
2025-07-16,0.00249992248340827,0.00249992248340827,0.0,0.0,2.0,2.0
2025-07-17,0.013180279078246928,0.013180279078246928,0.0,0.0,2.0,2.0
2025-07-18,0.0004583777953837999,0.0004583777953837999,0.0,0.0,2.0,2.0
2025-07-21,0.007618456710347144,0.007618456710347144,0.0,0.0,2.0,2.0
2025-07-22,-0.004710437976405541,-0.004710437976405541,0.0,0.0,2.0,2.0
2025-07-23,0.016041254801237685,0.016041254801237685,0.0,0.0,2.0,2.0
2025-07-24,0.002797703207052574,0.002797703207052574,0.0,0.0,2.0,2.0
2025-07-25,0.00660402139432651,0.00660402139432651,0.0,0.0,2.0,2.0
2025-07-28,0.006589186086833338,0.006589186086833338,0.0,0.0,2.0,2.0
2025-07-29,-0.006510900475646006,-0.006510900475646006,0.0,0.0,2.0,2.0
2025-07-30,0.00012058767117944331,0.00012058767117944331,0.0,0.0,2.0,2.0
2025-07-31,-0.008713285444809326,-0.008713285444809326,0.0,0.0,2.0,2.0
2025-08-01,-0.04282330302502319,-0.04282330302502319,0.0,0.0,2.0,2.0
2025-08-04,0.034301806149829785,0.034301806149829785,0.0,0.0,2.0,2.0
2025-08-05,-0.01220330925561366,-0.01220330925561366,0.0,0.0,2.0,2.0
2025-08-06,0.0211232998991402,0.0211232998991402,0.0,0.0,2.0,2.0
2025-08-07,0.0017443102793072002,0.0017443102793072002,0.0,0.0,2.0,2.0
2025-08-08,0.019767316860293253,0.019767316860293253,0.0,0.0,2.0,2.0
2025-08-11,-0.004916166481896025,-0.004916166481896025,0.0,0.0,2.0,2.0
2025-08-12,0.025903481780175302,0.025903481780175302,0.0,0.0,2.0,2.0
2025-08-13,0.0038301697355438416,0.0038301697355438416,0.0,0.0,1.9999999999999998,1.9999999999999998
2025-08-14,-0.001295346283914968,-0.001295346283914968,0.0,0.0,2.0,2.0
2025-08-15,-0.005727690071949245,-0.005727690071949245,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-08-18,0.002806612722136691,0.002806612722136691,0.0,0.0,1.9999999999999998,1.9999999999999998
2025-08-19,-0.020647556168635107,-0.020647556168635107,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-08-20,-0.007159040867141496,-0.007159040867141496,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-08-21,-0.009509410216504461,-0.009509410216504461,0.0,0.0,2.0,2.0
2025-08-22,0.03806612373017133,0.03806612373017133,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-08-25,-0.006620601409006483,-0.006620601409006483,0.0,0.0,1.9999999999999998,1.9999999999999998
2025-08-26,0.007949945294382782,0.007949945294382782,0.0,0.0,2.0,2.0
2025-08-27,0.0029669669287957392,0.0029669669287957392,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-08-28,0.010129522344441094,0.010129522344441094,0.0,0.0,2.0,2.0
2025-08-29,-0.018308050957409477,-0.018308050957409477,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-09-02,-0.018130868240735835,-0.018130868240735835,0.0,0.0,1.8709753015036286,1.8709753015036286
2025-09-03,0.012681745277742828,0.012681745277742828,0.0,0.0,2.0,2.0
2025-09-04,0.018915897199963373,0.018915897199963373,0.0,0.0,2.0,2.0
2025-09-05,-0.0005570421822431519,-0.0005570421822431519,0.0,0.0,2.0,2.0
2025-09-08,0.0091801649076233,0.0091801649076233,0.0,0.0,2.0,2.0
2025-09-09,0.005298723589842861,0.005298723589842861,0.0,0.0,2.0,2.0
2025-09-10,0.00271858453280744,0.00271858453280744,0.0,0.0,2.0,2.0
2025-09-11,0.015196447440740446,0.015196447440740446,0.0,0.0,2.0,2.0
2025-09-12,0.004479569546971399,0.004479569546971399,0.0,0.0,2.0,2.0
2025-09-15,0.011498777402192939,0.011498777402192939,0.0,0.0,2.0,2.0
2025-09-16,-0.0041696765880173264,-0.0041696765880173264,0.0,0.0,2.0,2.0
2025-09-17,-0.0034933421632299265,-0.0034933421632299265,0.0,0.0,2.0,2.0
2025-09-18,0.012300725621067229,0.012300725621067229,0.0,0.0,2.0,2.0
2025-09-19,0.010765709721907504,0.010765709721907504,0.0,0.0,2.0,2.0
2025-09-22,0.007313731335219764,0.007313731335219764,0.0,0.0,2.0,2.0
2025-09-23,-0.012325490632550416,-0.012325490632550416,0.0,0.0,2.0,2.0
2025-09-24,-0.0067580696276864135,-0.0067580696276864135,0.0,0.0,2.0,2.0
2025-09-25,-0.008864324281710134,-0.008864324281710134,0.0,0.0,2.0,2.0
2025-09-26,0.00941201756925111,0.00941201756925111,0.0,0.0,2.0,2.0
2025-09-29,0.004747425712317637,0.004747425712317637,0.0,0.0,2.0,2.0
2025-09-30,0.006300551730227611,0.006300551730227611,0.0,0.0,2.0,2.0
2025-10-01,0.00848236163831686,0.00848236163831686,0.0,0.0,2.0,2.0
2025-10-02,0.005854610453865039,0.005854610453865039,0.0,0.0,2.0,2.0
2025-10-03,-0.005063387534740294,-0.005063387534740294,0.0,0.0,2.0,2.0
2025-10-06,0.011881129245869282,0.011881129245869282,0.0,0.0,2.0,2.0
2025-10-07,-0.009284815718164908,-0.009284815718164908,0.0,0.0,2.0,2.0
2025-10-08,0.01852705303955533,0.01852705303955533,0.0,0.0,2.0,2.0
2025-10-09,-0.003769884843357696,-0.003769884843357696,0.0,0.0,2.0,2.0
2025-10-10,-0.06332304406887393,-0.06332304406887393,0.0,0.0,1.7813887845790708,1.7813887845790708
2025-10-13,0.033082169734763266,0.033082169734763266,0.0,0.0,1.6841358616282827,1.6841358616282827
2025-10-14,-0.006900806348718004,-0.006900806348718004,0.0,0.0,1.6900341349813222,1.6900341349813222
2025-10-15,0.009830275893634353,0.009830275893634353,0.0,0.0,1.6794686678045518,1.6794686678045518
2025-10-16,-0.00869763614423403,-0.00869763614423403,0.0,0.0,1.6617307721179304,1.6617307721179304
2025-10-17,0.010214669394967285,0.010214669394967285,0.0,0.0,1.6653739716692513,1.6653739716692513
2025-10-20,0.01926404598660727,0.01926404598660727,0.0,0.0,1.6236762763270216,1.6236762763270216
2025-10-21,-0.00024010055428222958,-0.00024010055428222958,0.0,0.0,1.6329614704207807,1.6329614704207807
2025-10-22,-0.012359367332963216,-0.012359367332963216,0.0,0.0,1.6240697687314158,1.6240697687314158
2025-10-23,0.011764257550655853,0.011764257550655853,0.0,0.0,1.6135907322926855,1.6135907322926855
2025-10-24,0.015329240258283547,0.015329240258283547,0.0,0.0,1.6004463464587182,1.6004463464587182
2025-10-27,0.023904291001016733,0.023904291001016733,0.0,0.0,1.8399542626458645,1.8399542626458645
2025-10-28,0.003924733498668383,0.003924733498668383,0.0,0.0,1.5368541534490614,1.5368541534490614
2025-10-29,0.003981552590224987,0.003981552590224987,0.0,0.0,1.537241240150537,1.537241240150537
2025-10-30,-0.020379231580321785,-0.020379231580321785,0.0,0.0,1.4630897442462771,1.4630897442462771
2025-10-31,0.005979451939716236,0.005979451939716236,0.0,0.0,1.4614197895632612,1.4614197895632612
2025-11-03,0.0049642572392154995,0.0049642572392154995,0.0,0.0,1.465551330729527,1.465551330729527
2025-11-04,-0.023876455513970916,-0.023876455513970916,0.0,0.0,1.3847472309561781,1.3847472309561781
2025-11-05,0.006980271698405948,0.006980271698405948,0.0,0.0,1.3879007405659962,1.3879007405659962
2025-11-06,-0.02057634810066656,-0.02057634810066656,0.0,0.0,1.345864423313469,1.345864423313469
2025-11-07,-0.001542878986702461,-0.001542878986702461,0.0,0.0,1.346276571046551,1.346276571046551
2025-11-10,0.025472095534837313,0.025472095534837313,0.0,0.0,1.578596506357999,1.578596506357999
2025-11-11,-0.0003127606432822578,-0.0003127606432822578,0.0,0.0,1.6419534848336834,1.6419534848336834
2025-11-12,-0.00022080707365925125,-0.00022080707365925125,0.0,0.0,1.6528556776818863,1.6528556776818863
2025-11-13,-0.030708958715059576,-0.030708958715059576,0.0,0.0,1.5433238166502599,1.5433238166502599
2025-11-14,0.00046671581897222183,0.00046671581897222183,0.0,0.0,1.5615424853708952,1.5615424853708952
2025-11-17,-0.013940820944735418,-0.013940820944735418,0.0,0.0,1.5365016616606249,1.5365016616606249
2025-11-18,-0.015865609768055615,-0.015865609768055615,0.0,0.0,1.5553546505000964,1.5553546505000964
2025-11-19,0.007666946295147929,0.007666946295147929,0.0,0.0,1.543200708710456,1.543200708710456
2025-11-20,-0.0301315907413585,-0.0301315907413585,0.0,0.0,1.443201919429216,1.443201919429216
2025-11-21,0.012586684831453575,0.012586684831453575,0.0,0.0,1.4291311162665545,1.4291311162665545
2025-11-24,0.0289543345132716,0.0289543345132716,0.0,0.0,1.3414731213622422,1.3414731213622422
2025-11-25,0.010420659454348584,0.010420659454348584,0.0,0.0,1.3796572931643665,1.3796572931643665
2025-11-26,0.010881104529440282,0.010881104529440282,0.0,0.0,1.368826064565092,1.368826064565092
2025-11-28,0.009266563458383557,0.009266563458383557,0.0,0.0,1.6575099650471845,1.6575099650471845
2025-12-01,-0.0043529914525178215,-0.0043529914525178215,0.0,0.0,1.396185291759394,1.396185291759394
2025-12-02,0.006800946707323348,0.006800946707323348,0.0,0.0,1.6934360450596941,1.6934360450596941
2025-12-03,0.004924780969279557,0.004924780969279557,0.0,0.0,1.6937332668559828,1.6937332668559828
2025-12-04,0.0013469326477204952,0.0013469326477204952,0.0,0.0,1.7708709238861828,1.7708709238861828
2025-12-05,0.006318023394928649,0.006318023394928649,0.0,0.0,1.775317977879734,1.775317977879734
2025-12-08,-0.005655497421267089,-0.005655497421267089,0.0,0.0,1.8536346741744978,1.8536346741744978
2025-12-09,-0.00010984010083944354,-0.00010984010083944354,0.0,0.0,1.5555874669179002,1.5555874669179002
2025-12-10,0.008165312980177376,0.008165312980177376,0.0,0.0,1.9855767904273323,1.9855767904273323
2025-12-11,0.000805245301610204,0.000805245301610204,0.0,0.0,1.9847824435077808,1.9847824435077808
2025-12-12,-0.025125954242285697,-0.025125954242285697,0.0,0.0,1.8855722495435214,1.8855722495435214
2025-12-15,-0.005316664830332337,-0.005316664830332337,0.0,0.0,1.9952381321429413,1.9952381321429413
2025-12-16,-0.00012676644511840627,-0.00012676644511840627,0.0,0.0,1.9946873159209273,1.9946873159209273
2025-12-17,-0.027109410053649214,-0.027109410053649214,0.0,0.0,1.6447594333181839,1.6447594333181839
2025-12-18,0.018220447250795104,0.018220447250795104,0.0,0.0,1.9383559867837168,1.9383559867837168
2025-12-19,0.023881591224402945,0.023881591224402945,0.0,0.0,1.9197337150520752,1.9197337150520752
2025-12-22,0.013766554445578472,0.013766554445578472,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-12-23,0.00752939973766106,0.00752939973766106,0.0,0.0,2.0,2.0
2025-12-24,0.005477757939464983,0.005477757939464983,0.0,0.0,2.0,2.0
2025-12-26,0.0002055388213531368,0.0002055388213531368,0.0,0.0,2.0000000000000004,2.0000000000000004
2025-12-29,-0.005645717659683303,-0.005645717659683303,0.0,0.0,2.0,2.0
2025-12-30,-0.001684823251119237,-0.001684823251119237,0.0,0.0,2.0,2.0
2025-12-31,-0.015211957577011385,-0.015211957577011385,0.0,0.0,2.0000000000000004,2.0000000000000004
2026-01-02,0.0014723701766744767,0.0014723701766744767,0.0,0.0,2.0,2.0
2026-01-05,0.0122502207971311,0.0122502207971311,0.0,0.0,2.0,2.0
2026-01-06,0.015057618787022144,0.015057618787022144,0.0,0.0,1.9999999999999998,1.9999999999999998
2026-01-07,-0.003994509783795316,-0.003994509783795316,0.0,0.0,2.0000000000000004,2.0000000000000004
2026-01-08,-0.004132150381492416,-0.004132150381492416,0.0,0.0,2.0,2.0
2026-01-09,0.017155862755554724,0.017155862755554724,0.0,0.0,2.0,2.0
2026-01-12,0.0018284018883263765,0.0018284018883263765,0.0,0.0,2.0,2.0
2026-01-13,-0.006861226629456604,-0.006861226629456604,0.0,0.0,1.9999999999999998,1.9999999999999998
2026-01-14,-0.017619658665320666,-0.017619658665320666,0.0,0.0,2.0,2.0
2026-01-15,0.009476683072203902,0.009476683072203902,0.0,0.0,1.9999999999999998,1.9999999999999998
2026-01-16,-0.0018315916500546978,-0.0018315916500546978,0.0,0.0,2.0,2.0
2026-01-20,-0.0518269184562612,-0.0518269184562612,0.0,0.0,1.9379817550565324,1.9379817550565324
2026-01-21,0.02461438833548772,0.02461438833548772,0.0,0.0,1.9488244300123456,1.9488244300123456
2026-01-22,0.012435697831923245,0.012435697831923245,0.0,0.0,2.0,2.0
2026-01-23,0.001056875316851725,0.001056875316851725,0.0,0.0,2.0,2.0
2026-01-26,0.00821883467804169,0.00821883467804169,0.0,0.0,2.0,2.0
2026-01-27,0.010047232825107262,0.010047232825107262,0.0,0.0,2.0,2.0
2026-01-28,0.002719550925448097,0.002719550925448097,0.0,0.0,2.0,2.0
2026-01-29,-0.008881589535037876,-0.008881589535037876,0.0,0.0,1.9646851977311357,1.9646851977311357
2026-01-30,-0.01638696632709661,-0.01638696632709661,0.0,0.0,1.9043921536436803,1.9043921536436803
2026-02-02,0.011471297857275999,0.011471297857275999,0.0,0.0,2.0,2.0
2026-02-03,-0.027431967644945994,-0.027431967644945994,0.0,0.0,1.832732107898856,1.832732107898856
2026-02-04,-0.021928608239796515,-0.021928608239796515,0.0,0.0,1.7691880272848686,1.7691880272848686
2026-02-05,-0.023946268466018335,-0.023946268466018335,0.0,0.0,1.7536647832864032,1.7536647832864032
2026-02-06,0.03547858391129102,0.03547858391129102,0.0,0.0,1.6152711952166092,1.6152711952166092
2026-02-09,0.010198617188236551,0.010198617188236551,0.0,0.0,1.601615672554299,1.601615672554299
2026-02-10,-0.005915542229800843,-0.005915542229800843,0.0,0.0,1.6285758284845255,1.6285758284845255
2026-02-11,0.002127108518884998,0.002127108518884998,0.0,0.0,1.6275657011463163,1.6275657011463163
2026-02-12,-0.02936084254685049,-0.02936084254685049,0.0,0.0,1.5142221297600762,1.5142221297600762
2026-02-13,0.002206646638669104,0.002206646638669104,0.0,0.0,1.5278744058690399,1.5278744058690399
2026-02-17,0.0003203042063186613,0.0003203042063186613,0.0,0.0,1.5330628441200878,1.5330628441200878
2026-02-18,0.009698782500440588,0.009698782500440588,0.0,0.0,1.5146629774159126,1.5146629774159126
2026-02-19,-0.004983730511291699,-0.004983730511291699,0.0,0.0,1.670655598087404,1.670655598087404
2026-02-20,0.013485730639408049,0.013485730639408049,0.0,0.0,1.6913920869689734,1.6913920869689734
2026-02-23,-0.019006126434737116,-0.019006126434737116,0.0,0.0,1.6804011832075123,1.6804011832075123
2026-02-24,0.015267025084202876,0.015267025084202876,0.0,0.0,1.657501049952515,1.657501049952515
2026-02-25,0.019170603651625637,0.019170603651625637,0.0,0.0,1.6174980997594797,1.6174980997594797
2026-02-26,-0.014343448446737017,-0.014343448446737017,0.0,0.0,1.611269029511642,1.611269029511642
2026-02-27,-0.006425368262772189,-0.006425368262772189,0.0,0.0,1.6093394508447725,1.6093394508447725
2026-03-02,0.0015319021844105217,0.0015319021844105217,0.0,0.0,1.610906425137597,1.610906425137597
2026-03-03,-0.01576474515786159,-0.01576474515786159,0.0,0.0,1.596882724968634,1.596882724968634
2026-03-04,0.01805101786968865,0.01805101786968865,0.0,0.0,1.5577403959225642,1.5577403959225642
2026-03-05,-0.006647719664984698,-0.006647719664984698,0.0,0.0,1.5993037602416345,1.5993037602416345
2026-03-06,-0.022577953901739212,-0.022577953901739212,0.0,0.0,1.5754301962558568,1.5754301962558568
2026-03-09,0.01766556703044896,0.01766556703044896,0.0,0.0,1.5983132679278422,1.5983132679278422
2026-03-10,-0.0012170666907846933,-0.0012170666907846933,0.0,0.0,1.7340880824303664,1.7340880824303664
2026-03-11,-0.0011300424724774666,-0.0011300424724774666,0.0,0.0,1.7488252489814433,1.7488252489814433
2026-03-12,-0.028444032770212273,-0.028444032770212273,0.0,0.0,1.6933827590401225,1.6933827590401225
2026-03-13,-0.009823605124643092,-0.009823605124643092,0.0,0.0,1.6921755188932726,1.6921755188932726
2026-03-16,0.018138959986472074,0.018138959986472074,0.0,0.0,1.7446050253036494,1.7446050253036494
2026-03-17,0.006713454585189016,0.006713454585189016,0.0,0.0,1.740207016653045,1.740207016653045
2026-03-18,-0.024281064577369192,-0.024281064577369192,0.0,0.0,1.6803832928813591,1.6803832928813591
2026-03-19,-0.004771892542372962,-0.004771892542372962,0.0,0.0,1.7066830176644427,1.7066830176644427
2026-03-20,-0.028266069819217,-0.028266069819217,0.0,0.0,1.6076991294813068,1.6076991294813068
2026-03-23,0.017712930390600137,0.017712930390600137,0.0,0.0,1.578200485162096,1.578200485162096
2026-03-24,-0.008245767422795742,-0.008245767422795742,0.0,0.0,1.6096677368194237,1.6096677368194237
2026-03-25,0.009828376054442462,0.009828376054442462,0.0,0.0,1.632628698694497,1.632628698694497
2026-03-26,-0.03443013911679402,-0.03443013911679402,0.0,0.0,1.5730072290419062,1.5730072290419062
2026-03-27,-0.02893445359295296,-0.02893445359295296,0.0,0.0,1.5035567761082225,1.5035567761082225
2026-03-30,-0.008531379061760092,-0.008531379061760092,0.0,0.0,1.5015259157842968,1.5015259157842968
2026-03-31,0.04747665329228971,0.04747665329228971,0.0,0.0,1.2070934721032804,1.2070934721032804
2026-04-01,0.012291719207776892,0.012291719207776892,0.0,0.0,1.193101034942297,1.193101034942297
2026-04-02,0.0012294736949212783,0.0012294736949212783,0.0,0.0,1.2228858069461088,1.2228858069461088
2026-04-06,0.006652720038847512,0.006652720038847512,0.0,0.0,1.215389898479468,1.215389898479468
2026-04-07,0.00033541851700969464,0.00033541851700969464,0.0,0.0,1.2473875045063427,1.2473875045063427
