date,est,book,n_names,vol,ret,turnover,ret_net
2015-01-02,pca3_raw,unconstrained,369,0.138526976895989,0.03055946214120103,,0.03055946214120103
2015-01-02,pca3_raw,long_only,369,0.15578105061942418,-0.004714549226790883,,-0.004714549226790883
2015-01-02,pca3_a25,unconstrained,369,0.13224928014081783,0.032678058186614754,,0.032678058186614754
2015-01-02,pca3_a25,long_only,369,0.1564797722020279,-0.004693785544778804,,-0.004693785544778804
2015-01-02,pca3_a50,unconstrained,369,0.12941637280620574,0.03392598206158931,,0.03392598206158931
2015-01-02,pca3_a50,long_only,369,0.15689484040416912,-0.0043974590300984075,,-0.0043974590300984075
2015-01-02,pca3_a75,unconstrained,369,0.12681559092318637,0.03568551199683272,,0.03568551199683272
2015-01-02,pca3_a75,long_only,369,0.1565873469995837,-0.003533123356671077,,-0.003533123356671077
2015-01-02,jse3_raw,unconstrained,369,0.13851865572862734,0.03223356929253249,,0.03223356929253249
2015-01-02,jse3_raw,long_only,369,0.15564767083466113,-0.004657794006046868,,-0.004657794006046868
2015-01-02,jse3_a25,unconstrained,369,0.13198700393137092,0.03420592036099442,,0.03420592036099442
2015-01-02,jse3_a25,long_only,369,0.15636405179470939,-0.004645691156228494,,-0.004645691156228494
2015-01-02,jse3_a50,unconstrained,369,0.12903921289709613,0.03543522851665942,,0.03543522851665942
2015-01-02,jse3_a50,long_only,369,0.15678473697050754,-0.004349642494094072,,-0.004349642494094072
2015-01-02,jse3_a75,unconstrained,369,0.1263734663021101,0.03721102757761148,,0.03721102757761148
2015-01-02,jse3_a75,long_only,369,0.15648187513564144,-0.003478713866799559,,-0.003478713866799559
2015-01-02,mp,unconstrained,369,0.1190807381333824,0.033464722689634886,,0.033464722689634886
2015-01-02,mp,long_only,369,0.15237411647417468,-0.004258329069276881,,-0.004258329069276881
2015-02-02,pca3_raw,unconstrained,370,0.11070658930321782,0.022838176360718464,1.4154841590024025,0.02142269220171606
2015-02-02,pca3_raw,long_only,370,0.08707254837359986,0.032696232399482245,0.35105661214630934,0.032345175787335936
2015-02-02,pca3_a25,unconstrained,370,0.1060182427117429,0.0183187261042871,1.32956518100968,0.01698916092327742
2015-02-02,pca3_a25,long_only,370,0.08657829261393449,0.03529339102794546,0.34162448074762947,0.03495176654719783
2015-02-02,pca3_a50,unconstrained,370,0.10258416916201801,0.014533946946027146,1.276195483308085,0.013257751462719061
2015-02-02,pca3_a50,long_only,370,0.0857691994769057,0.036781487253170236,0.3379353573160435,0.036443551895854194
2015-02-02,pca3_a75,unconstrained,370,0.09931741875917581,0.010706543491062703,1.228143790092663,0.009478399700970041
2015-02-02,pca3_a75,long_only,370,0.08441555146493614,0.03769722893648095,0.33667880915037274,0.037360550127330576
2015-02-02,jse3_raw,unconstrained,370,0.11281150147411409,0.022085116810596203,1.4563983507516756,0.020628718459844528
2015-02-02,jse3_raw,long_only,370,0.08708344676371586,0.032612932922345725,0.35180226791646385,0.03226113065442926
2015-02-02,jse3_a25,unconstrained,370,0.10775498176077646,0.017479555330248978,1.367346048733382,0.016112209281515598
2015-02-02,jse3_a25,long_only,370,0.0865749467511809,0.035226725021289956,0.3423943786776386,0.034884330642612316
2015-02-02,jse3_a50,unconstrained,370,0.10414507784972933,0.013599915736636218,1.3119527620386302,0.012287962974597588
2015-02-02,jse3_a50,long_only,370,0.0857537135721216,0.036721588823357465,0.3386498054815362,0.036382939017875926
2015-02-02,jse3_a75,unconstrained,370,0.10076918145048648,0.009665939048091375,1.2622881961712742,0.0084036508519201
2015-02-02,jse3_a75,long_only,370,0.0843976952380614,0.037651707097951244,0.3374197673320032,0.03731428733061924
2015-02-02,mp,unconstrained,370,0.09776907374734334,0.008129261878108699,1.2150325191722002,0.006914229358936499
2015-02-02,mp,long_only,370,0.08337950836290363,0.0388455463603789,0.33112070308814767,0.038514425657290755
2015-03-02,pca3_raw,unconstrained,370,0.10291783989549087,-0.017649022331688913,1.4214340474349219,-0.019070456379123836
2015-03-02,pca3_raw,long_only,370,0.13571053733010216,-0.015996735126232082,0.33305769654238365,-0.016329792822774466
2015-03-02,pca3_a25,unconstrained,370,0.10258776569050984,-0.014630881121135291,1.331098819820553,-0.015961979940955846
2015-03-02,pca3_a25,long_only,370,0.13362330902772349,-0.016255107024705735,0.321413917390693,-0.01657652094209643
2015-03-02,pca3_a50,unconstrained,370,0.10217630775411937,-0.012930069245151483,1.2721619185169086,-0.014202231163668392
2015-03-02,pca3_a50,long_only,370,0.13198376978993642,-0.01659481163082954,0.31222342454538005,-0.016907035055374917
2015-03-02,pca3_a75,unconstrained,370,0.10101051339788786,-0.012423314021506536,1.2219239839053468,-0.013645238005411883
2015-03-02,pca3_a75,long_only,370,0.13004566526017985,-0.017334197474994744,0.30650261226699516,-0.017640700087261738
2015-03-02,jse3_raw,unconstrained,370,0.10221948930132821,-0.017661091208064746,1.4639854336964169,-0.019125076641761163
2015-03-02,jse3_raw,long_only,370,0.13571151887683564,-0.016004459351351565,0.3337047403398274,-0.016338164091691393
2015-03-02,jse3_a25,unconstrained,370,0.10185809811806029,-0.014568667999408855,1.3681964301579321,-0.015936864429566787
2015-03-02,jse3_a25,long_only,370,0.1336138033261116,-0.016274690097379797,0.3220798164095993,-0.016596769913789396
2015-03-02,jse3_a50,unconstrained,370,0.1014377547682278,-0.01282154104654546,1.307298294940464,-0.014128839341485925
2015-03-02,jse3_a50,long_only,370,0.13196374296673746,-0.016618313501877053,0.31292571361577215,-0.016931239215492826
2015-03-02,jse3_a75,unconstrained,370,0.10024374742168228,-0.012300748534595656,1.2558160334132566,-0.013556564568008913
2015-03-02,jse3_a75,long_only,370,0.1300061208771249,-0.017368718723262636,0.3073967939507176,-0.017676115517213355
2015-03-02,mp,unconstrained,370,0.11293118116764807,-0.028536558670297914,0.9230583399765117,-0.029459617010274428
2015-03-02,mp,long_only,370,0.13367073636122442,-0.023911892567905855,0.25237867641562883,-0.024164271244321484
2015-04-01,pca3_raw,unconstrained,374,0.08341610561627028,-0.005327173883080303,0.8871269510433757,-0.006214300834123678
2015-04-01,pca3_raw,long_only,374,0.08264325042089736,0.005590643291281528,0.20335849204099526,0.005387284799240532
2015-04-01,pca3_a25,unconstrained,374,0.08251560125310452,-0.005853876472808762,0.8461898677577323,-0.0067000663405664945
2015-04-01,pca3_a25,long_only,374,0.08292121073880444,0.0066233616857914,0.2034478113174775,0.006419913874473922
2015-04-01,pca3_a50,unconstrained,374,0.08271525716740069,-0.006070623007861656,0.8210837365658739,-0.006891706744427529
2015-04-01,pca3_a50,long_only,374,0.08339920529081953,0.007392514592888029,0.20462426169513087,0.007187890331192898
2015-04-01,pca3_a75,unconstrained,374,0.08320028723475856,-0.006278543643097708,0.7995315381395436,-0.007078075181237251
2015-04-01,pca3_a75,long_only,374,0.08373205203578583,0.008095225116414374,0.20611708287508984,0.007889108033539285
2015-04-01,jse3_raw,unconstrained,374,0.08423110387016856,-0.005971205428957958,0.9212698746488406,-0.006892475303606799
2015-04-01,jse3_raw,long_only,374,0.08265387850372892,0.005556219405325879,0.2038848130012759,0.005352334592324603
2015-04-01,jse3_a25,unconstrained,374,0.08323163065119404,-0.00651053080395811,0.8759562703368844,-0.007386487074294994
2015-04-01,jse3_a25,long_only,374,0.08293237634883857,0.006587089125136891,0.20384979932350272,0.006383239325813388
2015-04-01,jse3_a50,unconstrained,374,0.08338026650938847,-0.006746371969555777,0.8489043340388971,-0.007595276303594674
2015-04-01,jse3_a50,long_only,374,0.08340643890906282,0.007357474133811699,0.20502821563301651,0.007152445918178683
2015-04-01,jse3_a75,unconstrained,374,0.08387239098233916,-0.006983195000458879,0.8256607023171931,-0.007808855702776072
2015-04-01,jse3_a75,long_only,374,0.08373481364434138,0.008051878664281604,0.20656929623329634,0.007845309368048307
2015-04-01,mp,unconstrained,374,0.09256734512956086,0.005416081523954026,1.260147813215412,0.0041559337107386135
2015-04-01,mp,long_only,374,0.08382960527258598,0.014185956606457724,0.3191925352055034,0.013866764071252221
2015-05-01,pca3_raw,unconstrained,376,0.07070324692946521,-0.018619506116737156,0.8526421851590092,-0.019472148301896166
2015-05-01,pca3_raw,long_only,376,0.08447301386723528,-0.0029275802156934583,0.20426915570808135,-0.0031318493714015396
2015-05-01,pca3_a25,unconstrained,376,0.07104878944148794,-0.017113412117450873,0.7541255390096209,-0.017867537656460493
2015-05-01,pca3_a25,long_only,376,0.08420615883077025,-0.002750318358182255,0.1870178619990832,-0.002937336220181338
2015-05-01,pca3_a50,unconstrained,376,0.07225218268123074,-0.016617673079783134,0.6989856334725167,-0.01731665871325565
2015-05-01,pca3_a50,long_only,376,0.0838762939831037,-0.0030646857445235758,0.17745969911217757,-0.0032421454436357532
2015-05-01,pca3_a75,unconstrained,376,0.07518879509770267,-0.01646567303583881,0.6560503409248089,-0.01712172337676362
2015-05-01,pca3_a75,long_only,376,0.08340160885667942,-0.003767972711610646,0.17257212059907645,-0.003940544832209722
2015-05-01,jse3_raw,unconstrained,376,0.07133704152070697,-0.019473259904474446,0.8852391790567048,-0.020358499083531153
2015-05-01,jse3_raw,long_only,376,0.08445003748139696,-0.0029510745971203516,0.2049349844013921,-0.0031560095815217435
2015-05-01,jse3_a25,unconstrained,376,0.07161945072070665,-0.017885689970473958,0.7833589213004437,-0.0186690488917744
2015-05-01,jse3_a25,long_only,376,0.08417208028481575,-0.002773859629046887,0.1876916485321538,-0.002961551277579041
2015-05-01,jse3_a50,unconstrained,376,0.07291116726243665,-0.017354487193707156,0.7255547942939371,-0.018080041988001092
2015-05-01,jse3_a50,long_only,376,0.08382766764046,-0.0030940204171414337,0.17806715087969965,-0.0032720875680211335
2015-05-01,jse3_a75,unconstrained,376,0.0761281955672088,-0.01718670374085964,0.6809812004852652,-0.017867684941344903
2015-05-01,jse3_a75,long_only,376,0.0833463929506943,-0.0038014823698278395,0.17302752655942902,-0.003974509896387268
2015-05-01,mp,unconstrained,376,0.08949550495740123,-0.011229878381512104,0.9431150468608627,-0.012172993428372966
2015-05-01,mp,long_only,376,0.08923679821677884,-0.0037012412602337877,0.22392033571608766,-0.003925161595949875
2015-06-01,pca3_raw,unconstrained,376,0.10443673231415042,0.02530103595210158,0.6842183496094969,0.024616817602492083
2015-06-01,pca3_raw,long_only,376,0.1047413732469289,-0.007752233595914183,0.15896584638741576,-0.007911199442301599
2015-06-01,pca3_a25,unconstrained,376,0.10395345944593772,0.027348854788534636,0.6504018292178007,0.026698452959316835
2015-06-01,pca3_a25,long_only,376,0.10426509801856121,-0.006684852655299629,0.15731152058560544,-0.006842164175885234
2015-06-01,pca3_a50,unconstrained,376,0.1045619121788714,0.028999786637726725,0.6285758913152641,0.02837121074641146
2015-06-01,pca3_a50,long_only,376,0.10380170389148283,-0.006273813337998568,0.1577548006807007,-0.006431568138679269
2015-06-01,pca3_a75,unconstrained,376,0.10539384187177932,0.03018608753000591,0.6043259319774837,0.029581761598028427
2015-06-01,pca3_a75,long_only,376,0.10311236666501464,-0.0062002301951338094,0.15642718228220973,-0.006356657377416019
2015-06-01,jse3_raw,unconstrained,376,0.10523376575349469,0.02688744303423729,0.71254395325225,0.02617489908098504
2015-06-01,jse3_raw,long_only,376,0.10467744802537716,-0.0077701949642445655,0.15978015766580586,-0.007929975121910371
2015-06-01,jse3_a25,unconstrained,376,0.104797080931655,0.028989087415835117,0.6768693139492803,0.028312218101885837
2015-06-01,jse3_a25,long_only,376,0.1042101595578677,-0.006686270290104242,0.15811365348975703,-0.006844383943593999
2015-06-01,jse3_a50,unconstrained,376,0.10551942336998302,0.030715024582778635,0.6535464531601842,0.03006147812961845
2015-06-01,jse3_a50,long_only,376,0.10375038913368542,-0.00626010959573977,0.1585557404573724,-0.006418665336197142
2015-06-01,jse3_a75,unconstrained,376,0.10651404957603625,0.031982640317840344,0.6279319673423083,0.031354708350498035
2015-06-01,jse3_a75,long_only,376,0.10305359888522267,-0.006170789596323159,0.1572967591714315,-0.0063280863554945905
2015-06-01,mp,unconstrained,376,0.08462028652094833,0.002944521485714932,0.8486094578562378,0.002095912027858694
2015-06-01,mp,long_only,376,0.09870159614912066,-0.012880479590482746,0.2103265343679747,-0.013090806124850722
2015-07-01,pca3_raw,unconstrained,377,0.05986712019694251,0.04096600847510402,0.6661595741818449,0.04029984890092217
2015-07-01,pca3_raw,long_only,377,0.09166358827222462,0.017960513920549235,0.15265669459211761,0.017807857225957117
2015-07-01,pca3_a25,unconstrained,377,0.06399017770458444,0.03833277262073958,0.5947575637450015,0.037738015056994575
2015-07-01,pca3_a25,long_only,377,0.09307290752358785,0.014779234379272418,0.13853222095292345,0.014640702158319495
2015-07-01,pca3_a50,unconstrained,377,0.07012859289406945,0.03430343456540221,0.5539119071741593,0.03374952265822805
2015-07-01,pca3_a50,long_only,377,0.09400236675448133,0.011709736248859006,0.13236873974970192,0.011577367509109305
2015-07-01,pca3_a75,unconstrained,377,0.07847335005468078,0.028455078700316418,0.5169279729363744,0.027938150727380043
2015-07-01,pca3_a75,long_only,377,0.09475006752511149,0.007929600872041018,0.12865965716322905,0.007800941214877789
2015-07-01,jse3_raw,unconstrained,377,0.06055811045359378,0.04252655907047598,0.6929072500892312,0.041833651820386744
2015-07-01,jse3_raw,long_only,377,0.0915511436166653,0.018045176348742385,0.153638856630136,0.01789153749211225
2015-07-01,jse3_a25,unconstrained,377,0.06508325620183732,0.039802728578550724,0.6194679359108779,0.03918326064263985
2015-07-01,jse3_a25,long_only,377,0.09296795983764869,0.01484144221288666,0.1394041909485028,0.014702038021938157
