book,annA,annB,shA,shB,ba_ann_bps,t_mo,n_mo,slip_bps,t_slip,n_reb,w12m_bps,ba_full_sign,ba_holdout
vol_managed_qqq,0.2618966180298721,0.2641067445147607,1.026857652628956,1.0375440903887185,22.101264848886082,-0.03543812317872725,199,0.3826152987671662,0.6702973797653377,1000,-636.901380092233,1.0,0.012117376307961392
vol_core_svxy,0.31100659119085194,0.325468668553085,1.1011805114518194,1.1429460145305623,144.62077362233038,0.44074917212194537,178,0.32755553803843274,0.8749942658692695,2860,-809.8869301855427,1.0,-0.0067521762719091605
trend_vol_qqq,0.19969482638877456,0.19962315412988274,0.8907830115077473,0.8912887981414408,-0.716722588918195,-0.1567622722438107,199,1.3653326802173655,0.7420377021728837,862,-636.901380092233,-1.0,0.00398724259666472
