horizon,hi_mean,hi_t,hi_hit,hi_n,lo_mean,lo_t,inter_mean,inter_t,inter_n,hold_hi_stable,hold_in_stable
21,0.006870057905000139,0.4115595305363381,0.5407407407407407,135,0.00934306319315835,0.5680361770044242,-0.0024730052881582133,-0.17949295589531095,135,False,False
63,0.01993353062474699,1.254676222080044,0.5555555555555556,135,-0.003683608185987409,-0.24580823472682226,0.023617138810734403,1.9350663502924528,135,False,False
