date,delta,rbar,F_mineig,p
2015-01-02,0.20100212228071848,0.3105815708082808,3.707529029700682e-05,369
2015-02-02,0.1900057981482461,0.32158114868303084,4.045571377590951e-05,370
2015-03-02,0.1868958232605414,0.30768601245815813,3.913289208917907e-05,370
2015-04-01,0.18374534814225224,0.32351036274758144,4.142660047038446e-05,374
2015-05-01,0.18658146025338965,0.3134084013083018,4.195578723155311e-05,376
2015-06-01,0.18522364317394077,0.3174390303350083,4.2297813763232924e-05,376
2015-07-01,0.17827069286583744,0.3282735319307916,4.469999889216607e-05,377
2015-08-03,0.17653662073869,0.3263361756839651,4.7232697645247925e-05,378
2015-09-01,0.1812505528079805,0.3842057856060485,5.205421940235002e-05,378
2015-10-01,0.17093440056806694,0.4014320930361572,5.2672616943618385e-05,380
2015-11-02,0.18651755247447632,0.379077813554941,5.04174985353508e-05,381
2015-12-01,0.183385315043301,0.3817194427105973,5.292064861383295e-05,381
2016-01-04,0.17093593811893673,0.3856123104345496,5.0563283896019605e-05,385
2016-02-01,0.18281133784320652,0.3913987284744944,4.86660191564859e-05,387
2016-03-01,0.18892589423702905,0.3981434233273156,4.872193553947501e-05,387
2016-04-01,0.19767061699409477,0.3869443417248245,4.567443505515048e-05,389
2016-05-02,0.18727845675745314,0.38706932676365935,5.283396141556428e-05,389
2016-06-01,0.18321491108600801,0.3844332278691571,5.408263420498433e-05,393
2016-07-01,0.17871181567467737,0.3920879608800749,5.1483939297142224e-05,396
2016-08-01,0.17656051428013037,0.38619032197867414,5.214188434522307e-05,399
2016-09-01,0.18274370639682455,0.33866049660986175,4.6580326615353264e-05,399
2016-10-03,0.1851650606414665,0.3300062511795302,4.94159637095686e-05,403
2016-11-01,0.18745507749122833,0.3288977154225892,4.597828882417689e-05,404
2016-12-01,0.193094279390445,0.31137459009483004,5.012812177775683e-05,405
2017-01-03,0.2033098329463128,0.2925509069235661,4.7290966697362434e-05,406
2017-02-01,0.21702360217552957,0.25738884090325787,4.11402606084952e-05,407
2017-03-01,0.22391298715733143,0.23497139426209243,3.8314746471972105e-05,408
2017-04-03,0.23648112963231666,0.23546437647529941,3.863495319076938e-05,411
2017-05-01,0.25075962872006946,0.23237641011854732,3.967247923664795e-05,413
2017-06-01,0.26243521883235865,0.22717640994948257,3.9445523058999636e-05,413
2017-07-03,0.27847163901124394,0.18190246642880356,3.7271471129572945e-05,413
2017-08-01,0.3037024983553385,0.1784427449783196,3.843069350389451e-05,415
2017-09-01,0.30359719604403,0.18621527913989416,3.59962019329949e-05,412
2017-10-02,0.2971096249726002,0.14801715225837003,3.347224717848574e-05,412
2017-11-01,0.30559891206717393,0.13838756431104618,3.37789537916828e-05,413
2017-12-01,0.2965844151394262,0.13664045222662574,2.98717137619304e-05,413
2018-01-02,0.29274314833119036,0.12871724409980367,2.8359957712210762e-05,413
2018-02-01,0.30426631669637777,0.13118952492802877,2.9202857719398083e-05,414
2018-03-01,0.31461747277994595,0.2138891626813954,3.741741624359771e-05,414
2018-04-02,0.2703866382357934,0.24518203046102008,3.837545767431115e-05,416
2018-05-01,0.26596456103187327,0.25392037961940817,4.371496058489867e-05,416
2018-06-01,0.26589318947127305,0.25335926180676044,4.527322496971462e-05,417
2018-07-02,0.25803362006140224,0.25264493373752395,4.698979369535631e-05,416
2018-08-01,0.2626844850157728,0.24945426910102297,4.920566682467832e-05,417
