date,n,p,psi1,psi2,psi3,psi4,psi5,gap1,gap2,gap3,gap4,gap5,vol_pca5_long_only,vol_jse5_long_only,vol_pca3_long_only,vol_jse3_long_only,vol_g0_long_only,vol_g1_long_only,vol_g2_long_only,vol_g3_long_only,vol_g4_long_only,vol_g5_long_only,vol_pca5_unconstrained,vol_jse5_unconstrained,vol_pca3_unconstrained,vol_jse3_unconstrained,vol_g0_unconstrained,vol_g1_unconstrained,vol_g2_unconstrained,vol_g3_unconstrained,vol_g4_unconstrained,vol_g5_unconstrained
2015-01-02,63,370,0.9903452365650945,0.9613559129797637,0.9161183194262602,0.8869484759676232,0.8613369894163176,0.7464692797154122,0.5284258241397047,0.2465525229690012,0.17348482829550727,0.1348634728681975,0.1515705293818909,0.1513159323766308,0.15144125451683962,0.15108293052269128,0.1513159323766308,0.1513159323766308,0.1513159323766308,0.1513159323766308,0.1513159323766308,0.1513159323766308,0.11999626524064219,0.1196126180765168,0.11694230719154101,0.11585925926712026,0.1196126180765168,0.1196126180765168,0.1196126180765168,0.1196126180765168,0.1196126180765168,0.1196126180765168
2015-01-02,252,369,0.9961205818618238,0.9742983677952716,0.9645484087489562,0.9509230889341841,0.9367281949408583,0.8473910958759447,0.27142372867158304,0.2725869311069082,0.21866285882582412,0.06743965331836872,0.15322537683881995,0.15310296091624503,0.15578105061942418,0.15564767083466113,0.15310296091624503,0.15309760949598838,0.15310296091624503,0.15309760949598838,0.15310296091624503,0.15309760949598838,0.13116811787613228,0.13131922796954779,0.138526976895989,0.13851865572862734,0.13131922796954779,0.13128126845906843,0.13131922796954779,0.13128126845906843,0.13131922796954779,0.13128126845906843
2015-02-02,63,371,0.9895864995870848,0.9662695333117141,0.9137770042025299,0.8786892662360991,0.8545033638841536,0.6876121285876098,0.5980695030943932,0.2759638400135217,0.15535618601996654,0.004623995804224044,0.09111532142306838,0.09116055732662064,0.09479427955759963,0.09495515654185553,0.091170586821316,0.091170586821316,0.091170586821316,0.091170586821316,0.091170586821316,0.091170586821316,0.12504569318850547,0.12974316885416726,0.15420511039280405,0.16202479828075195,0.12974258836900537,0.12974258836900537,0.12974258836900537,0.12974258836900537,0.12974258836900537,0.12974258836900537
2015-02-02,252,370,0.9964187080462644,0.978608392563656,0.965897089443561,0.9503876697897352,0.9370058605843062,0.8310772702614204,0.36867782899127255,0.3071461136324552,0.2069884982173194,0.06561989765073911,0.08486590587877707,0.08484156208757156,0.08707254837359986,0.08708344676371586,0.08484156208757156,0.08485049064114103,0.08484156208757156,0.08485049064114103,0.08484156208757156,0.08485049064114103,0.10500160723945656,0.10685385344040012,0.11070658930321782,0.11281150147411409,0.10685385344040012,0.10687916246241785,0.10685385344040012,0.10687916246241785,0.10685385344040012,0.10687916246241785
2015-03-02,63,371,0.989448142563905,0.9647053213312156,0.9217908432600194,0.8490578768105759,0.8362449481906532,0.6972704018697096,0.5386368212364367,0.4614788514386941,0.07181266348872829,0.024887749939361922,0.13943222878474887,0.13941108852047948,0.14060100607276121,0.14056298803127784,0.13942355865742462,0.13941826853047273,0.13942355865742462,0.13941826853047273,0.13942355865742462,0.13941826853047273,0.12626873294184132,0.12610951719190971,0.12760775769590274,0.1271442358998197,0.12612344335363995,0.126064100351643,0.12612344335363995,0.126064100351643,0.12612344335363995,0.126064100351643
2015-03-02,252,370,0.9962135813525164,0.9796570530115972,0.9704745888907025,0.9512116069831574,0.9351504625989215,0.8123140307894257,0.30779132632245576,0.3888526856544451,0.24142371077684707,0.05454403450533942,0.13809477698600447,0.13810824135941016,0.13571053733010216,0.13571151887683564,0.13810824135941016,0.13810112140945935,0.13810824135941016,0.13810112140945935,0.13810824135941016,0.13810112140945935,0.1089712901871902,0.10855646209996668,0.10291783989549087,0.10221948930132821,0.10855646209996668,0.10854459059503566,0.10855646209996668,0.10854459059503566,0.10855646209996668,0.10854459059503566
2015-04-01,63,376,0.9885634535570035,0.9557529492097437,0.9452507125874298,0.9269265255089336,0.8474392115912452,0.7371935445443538,0.1874609002585204,0.2436389757180816,0.500412192112937,0.05393728908315612,0.08296534318655917,0.08301417051970944,0.07982775957824631,0.07971488665699748,0.08301417051970944,0.08301323191554778,0.08301417051970944,0.08301323191554778,0.08301417051970944,0.08301323191554778,0.08651289160894739,0.0890308998240121,0.08898577794541586,0.09367703805841181,0.0890308998240121,0.08902790803211819,0.0890308998240121,0.08902790803211819,0.0890308998240121,0.08902790803211819
2015-04-01,252,374,0.9963526886621323,0.9798173417264154,0.9723433656207657,0.9471039249062505,0.9354118918299094,0.8177755639962401,0.26747636977362765,0.4703740313512096,0.17607702832456787,0.01948401977660772,0.08509351013183959,0.0850969137701071,0.08264325042089736,0.08265387850372892,0.08509662971226732,0.08509662971226732,0.08509662971226732,0.08509662971226732,0.08509662971226732,0.08509662971226732,0.10046614340699492,0.10151898215892428,0.08341610561627028,0.08423110387016856,0.10151721320122212,0.10151721320122212,0.10151721320122212,0.10151721320122212,0.10151721320122212,0.10151721320122212
2015-05-01,63,378,0.9823899824833596,0.968815471293644,0.9510615867127906,0.9176583470296109,0.8415970496857839,0.4314028428263574,0.3569816959107767,0.39531381504969576,0.458706341199912,0.07292923594893871,0.08357392707528573,0.08355977528666456,0.082364349367751,0.08234430258333385,0.08355977528666456,0.08354961413849259,0.08355977528666456,0.08354961413849259,0.08355977528666456,0.08354961413849259,0.062466548277142764,0.06143632082896189,0.0632171227858814,0.06286345381137785,0.06143632082896189,0.061408862139412726,0.06143632082896189,0.061408862139412726,0.06143632082896189,0.061408862139412726
2015-05-01,252,376,0.9960765371735784,0.9815438754330416,0.9715171474262689,0.9460766142484509,0.9357046214811071,0.7858576687652329,0.34873136224245643,0.4648852107699099,0.15682398830196076,0.08584114083751468,0.08794091251244184,0.08790153531687393,0.08447301386723528,0.08445003748139696,0.08790153531687393,0.08789185581886111,0.08790153531687393,0.08789185581886111,0.08790153531687393,0.08789185581886111,0.08418754276667038,0.08486704598524303,0.07070324692946521,0.07133704152070697,0.08486704598524303,0.08482954733988857,0.08486704598524303,0.08482954733988857,0.08486704598524303,0.08482954733988857
