date,est,book,n_names,vol,ret,turnover,ret_net
2015-01-02,sample,unconstrained,370,0.15081751740044722,0.016803844615247088,,0.016803844615247088
2015-01-02,sample,long_only,370,0.16605144479215703,-0.00546708333515742,,-0.00546708333515742
2015-01-02,pca1,unconstrained,370,0.13560087859035153,0.03401367026224062,,0.03401367026224062
2015-01-02,pca1,long_only,370,0.14062910208393453,0.008034640291189783,,0.008034640291189783
2015-01-02,pca3,unconstrained,370,0.11694230719154101,0.047916255319287976,,0.047916255319287976
2015-01-02,pca3,long_only,370,0.15144125451683962,-0.00036431481359712296,,-0.00036431481359712296
2015-01-02,pca5,unconstrained,370,0.11999626524064219,0.046484626617833744,,0.046484626617833744
2015-01-02,pca5,long_only,370,0.1515705293818909,-0.00011547491944280223,,-0.00011547491944280223
2015-01-02,jse1,unconstrained,370,0.1388922711632093,0.03877405753383836,,0.03877405753383836
2015-01-02,jse1,long_only,370,0.1400751724676893,0.008581457400475482,,0.008581457400475482
2015-01-02,jse3,unconstrained,370,0.11585925926712026,0.05238207264070948,,0.05238207264070948
2015-01-02,jse3,long_only,370,0.15108293052269128,-0.00018586019362571392,,-0.00018586019362571392
2015-01-02,jse5,unconstrained,370,0.1196126180765168,0.050403587244454665,,0.050403587244454665
2015-01-02,jse5,long_only,370,0.1513159323766308,3.936090620288574e-05,,3.936090620288574e-05
2015-01-02,lw,unconstrained,370,0.10832363261657166,0.02486836521989304,,0.02486836521989304
2015-01-02,lw,long_only,370,0.15314630749458424,-0.0033805934475060716,,-0.0033805934475060716
2015-01-02,mp,unconstrained,370,0.11094223606864963,0.03235108323400951,,0.03235108323400951
2015-01-02,mp,long_only,370,0.14829747967098283,0.0004862370809146435,,0.0004862370809146435
2015-02-02,sample,unconstrained,371,0.11545664072756413,0.02459391137510842,3.2176609863793875,0.02137625038872903
2015-02-02,sample,long_only,371,0.09052631763433995,0.04536361616082569,0.7271443310713882,0.0446364718297543
2015-02-02,pca1,unconstrained,371,0.13498125950584622,-0.003918561488639435,1.1261690701890306,-0.005044730558828466
2015-02-02,pca1,long_only,371,0.09648547748781251,0.024386656846267063,0.47252383275818244,0.023914133013508882
2015-02-02,pca3,unconstrained,371,0.15420511039280405,-0.017244086330846353,2.358613934596843,-0.019602700265443196
2015-02-02,pca3,long_only,371,0.09479427955759963,0.02923296083116167,0.7168830043732044,0.028516077826788465
2015-02-02,pca5,unconstrained,371,0.12504569318850547,0.010585913555858643,2.6887463242166545,0.007897167231641989
2015-02-02,pca5,long_only,371,0.09111532142306838,0.03854721181249748,0.776744569869436,0.03777046724262804
2015-02-02,jse1,unconstrained,371,0.1442961861713017,-0.009148379393972722,1.2300574758610003,-0.010378436869833724
2015-02-02,jse1,long_only,371,0.09694346577377168,0.023764694764424082,0.47813454356414253,0.02328656022085994
