Date,sector_etf_net,pca1_n63_net,jse1_n63_net,pca1_n252_net,jse1_n252_net
2018-06-27,-0.0012817647747541585,,,,
2018-06-28,0.0006184503783734108,,,,
2018-06-29,0.0011917647486138997,,,,
2018-07-02,-0.0006291136461469868,,,,
2018-07-03,-0.0012938496794427817,,,,
2018-07-05,-0.0013244548246794704,,,,
2018-07-06,-0.0010546362153623313,,,,
2018-07-09,0.001498434208707295,,,,
2018-07-10,0.0009356518959478254,,,,
2018-07-11,-0.001678992442609108,,,,
2018-07-12,0.0002154484233466973,,,,
2018-07-13,8.180599960592877e-05,,,,
2018-07-16,-0.0014138742153782572,,,,
2018-07-17,0.00014752375779490914,,,,
2018-07-18,0.0028404585391028536,,,,
2018-07-19,-0.000362405807175559,,,,
2018-07-20,-0.0012905151246889275,,,,
2018-07-23,0.002076649266617584,,,,
2018-07-24,-0.0018613607844733921,,,,
2018-07-25,0.0005756344221856898,,,,
2018-07-26,-7.427039322146502e-05,,,,
2018-07-27,-0.0012118868154644376,,,,
2018-07-30,-0.0015270094956919013,,,,
2018-07-31,-0.0009831993218195876,,,,
2018-08-01,-0.00017122303733079042,,,,
2018-08-02,0.002910243804808818,,,,
2018-08-03,-0.0005471238100613221,,,,
2018-08-06,0.0012687831913544268,,,,
2018-08-07,0.0011334594208883561,,,,
2018-08-08,0.0002895365657696749,,,,
2018-08-09,-0.0006729040607492891,,,,
2018-08-10,0.000547436225333456,,,,
2018-08-13,0.00041291239637044133,,,,
2018-08-14,-0.00020337880537284704,,,,
2018-08-15,-0.0019231874148956348,,,,
2018-08-16,-0.0007049023781349604,,,,
2018-08-17,-8.415151390247747e-05,,,,
2018-08-20,0.00015151695280882048,,,,
2018-08-21,0.002320006004404995,,,,
2018-08-22,0.001952796299270829,,,,
2018-08-23,-0.001249176383663344,,,,
2018-08-24,0.0003323663831966822,,,,
2018-08-27,0.0016590072154121888,,,,
2018-08-28,0.00022524231384044735,,,,
2018-08-29,-1.797998748714355e-05,,,,
2018-08-30,-0.00034785168611760895,,,,
2018-08-31,-0.00029808567114211396,,,,
2018-09-04,-0.002050415689604637,,,,
2018-09-05,-0.0007624837634196572,,,,
2018-09-06,-0.0010278039963598621,,,,
2018-09-07,-0.0022127006624511054,,,,
2018-09-10,5.025762020752554e-05,,,,
2018-09-11,-0.000991210568096198,,,,
2018-09-12,0.0006439448727839355,,,,
2018-09-13,-0.0008040549032985906,,,,
2018-09-14,-6.081886767835157e-05,,,,
2018-09-17,-0.0015657608527952609,,,,
2018-09-18,0.00028653427046781553,,,,
2018-09-19,-0.0003687105147339968,,,,
2018-09-20,5.526978855574819e-05,,,,
2018-09-21,-0.0006109767926146044,,,,
2018-09-24,-0.00020781129129643805,,,,
2018-09-25,0.0010045672056095657,,,,
2018-09-26,-0.001174910929779945,,,,
2018-09-27,-0.0004922421836149816,,,,
2018-09-28,0.00023928678383337834,,,,
2018-10-01,-0.0001362185674080179,,,,
2018-10-02,-0.001309704719184769,,,,
2018-10-03,-0.00031755455762925945,,,,
2018-10-04,-0.0030361959941404308,,,,
2018-10-05,0.00038428080616649307,,,,
2018-10-08,-0.0021459675930605828,,,,
2018-10-09,-0.003213958772843219,,,,
2018-10-10,-0.0027537792440303615,,,,
2018-10-11,0.0008169451289001468,,,,
2018-10-12,0.002650356755734422,,,,
2018-10-15,-0.0014457787214811927,,,,
2018-10-16,0.004068444503598772,,,,
2018-10-17,-0.0008277206451461062,,,,
2018-10-18,-0.0018900819530370048,,,,
2018-10-19,-0.0007198652939550206,,,,
2018-10-22,0.0006815432364936959,,,,
2018-10-23,0.001353881419556856,-1.990013844773842e-05,-8.394307757295809e-05,,
2018-10-24,-0.0014775035928092082,0.0002974131484943316,0.0002936699978158837,,
2018-10-25,-0.0007582807274885761,-0.0019487222564330703,-0.002091346772280062,,
2018-10-26,-0.0006519307313949739,0.0026721323534679977,0.0029841104654847613,,
