cell,,date,p,psi1,vol_pca1,vol_jse1,turnover_pca1,turnover_jse1
large_63,1,2018-06-01,475,0.9842682073944171,0.047887302153300164,0.04854010524032476,0.35159345627443317,0.354284423015694
large_63,2,2018-07-02,475,0.9716306726117695,0.07491515074885771,0.07690738958913183,0.36377706972364976,0.3695533382062455
large_63,3,2018-08-01,475,0.9614824553912246,0.057654972632762855,0.05802937419029132,0.42388032586614977,0.4288540702409423
large_63,4,2018-09-04,475,0.9603465666959767,0.07314539010533866,0.07490627492303154,0.3313025149381157,0.3408390441661605
large_63,5,2018-10-01,475,0.9491975735497918,0.15402294924398294,0.15270884058433812,0.3201706463000972,0.32776132411491665
large_63,6,2018-11-01,476,0.9826348314866212,0.09965884400788712,0.09910125304218258,0.5509428667135972,0.560014337278948
large_63,7,2018-12-03,476,0.984800535807163,0.21196760625048494,0.2113340012972234,0.2633200323849564,0.2647646866081044
large_63,8,2019-01-02,476,0.9898862797757865,0.10073988979639771,0.10020318955214212,0.25000434200687166,0.2512658824280755
large_63,9,2019-02-01,476,0.9889845707966564,0.04823923129249534,0.04811747569375278,0.2561283636675891,0.2580718675820929
large_63,10,2019-03-01,476,0.9885841473806538,0.0705449408631929,0.07016483692648004,0.2307707027750302,0.23027027066176275
large_63,11,2019-04-01,477,0.9792142600294056,0.07663962121246218,0.07710373366134748,0.3710779610545858,0.3736579803467288
large_63,12,2019-05-01,477,0.967591696723056,0.08925940568018208,0.08883248297908987,0.3999895766766271,0.40556196902339425
large_63,13,2019-06-03,477,0.9806377556360016,0.0961605342799872,0.0968582742272762,0.33957978257941746,0.3453703735235176
large_63,14,2019-07-01,480,0.9790925170567186,0.07482248594272042,0.07535060039304549,0.23988531926607431,0.24239273627263658
large_63,15,2019-08-01,480,0.9804549388777765,0.15907887800335122,0.15781091532760458,0.22178804866337426,0.22188347666657054
large_63,16,2019-09-03,482,0.9846785539442346,0.07066282894021782,0.07106723368711636,0.401390687936785,0.40698496681138296
large_63,17,2019-10-01,483,0.9843896381855158,0.08486173291302673,0.08459899022353036,0.23437467602569767,0.2349450350489341
large_63,18,2019-11-01,483,0.983266478746215,0.08037479351862319,0.0815786752067366,0.29024327776489844,0.29233522356377706
large_63,19,2019-12-02,483,0.9686178328801898,0.04689509810403075,0.047543627884618314,0.3436988163660446,0.3439515689762159
large_63,20,2020-01-02,484,0.9614134690089473,0.07905567434381862,0.07814204170683019,0.2560349477417193,0.2582572237000638
large_63,21,2020-02-03,484,0.9685631224704305,0.2819441273095141,0.2822711673644815,0.33531388132167184,0.33861016991490805
