uni,n,k,date,p,V_full,V_flat,V_proj,rot_cv,ctl_relexc,lam_spread
large,63,1,2018-05-01,475,0.10656488205830217,0.10656488205830217,0.09757144699733832,,-0.02252328480520005,1.0
large,63,1,2018-06-01,475,0.08288205925262603,0.08288205925262604,0.07781219218816628,,-0.14022086204041384,1.0
large,63,1,2018-07-02,475,0.0859469014735981,0.0859469014735981,0.07493437160468527,,-0.03414755867210284,1.0
large,63,1,2018-08-01,475,0.062225470372862864,0.062225470372862864,0.06494739411285921,,0.067175497591766,1.0
large,63,1,2018-09-04,475,0.08376673115604576,0.08376673115604577,0.08018167075562337,,-0.3321892775895696,1.0
large,63,1,2018-10-01,475,0.15013019803982433,0.15013019803982436,0.1487391142407599,,0.3091911982885345,1.0
large,63,1,2018-11-01,476,0.10749423188950359,0.10749423188950356,0.1164578106420484,,0.3931866906375381,1.0
large,63,1,2018-12-03,476,0.19219629735890756,0.19219629735890756,0.18652062395803382,,0.35200378468058524,1.0
large,63,1,2019-01-02,476,0.09765467173488607,0.09765467173488608,0.10510498309289383,,0.6560754579189569,1.0
large,63,1,2019-02-01,476,0.07393534818660623,0.07393534818660619,0.07851447065430009,,-0.04309520525441457,1.0
large,63,1,2019-03-01,476,0.07631732764107191,0.07631732764107192,0.07081094246684012,,0.5586037796757819,1.0
large,63,1,2019-04-01,477,0.08785933464357222,0.08785933464357222,0.08632111570863815,,-0.1326747650298017,1.0
large,63,1,2019-05-01,477,0.09166208949117757,0.09166208949117759,0.09081129215771586,,0.386197723441577,1.0
large,63,1,2019-06-03,477,0.13037933266264215,0.13037933266264212,0.132930190718408,,-0.2455523983328155,1.0
large,63,1,2019-07-01,480,0.09291925620104746,0.09291925620104743,0.08773244371281566,,-0.12570489414534114,1.0
large,63,1,2019-08-01,480,0.13948434974756524,0.13948434974756518,0.1419577154233943,,0.4720480036493029,1.0
large,63,1,2019-09-03,482,0.13452491609529368,0.13452491609529374,0.12025481751690917,,-0.319915297853651,1.0
large,63,1,2019-10-01,483,0.10322240391164367,0.10322240391164367,0.10728457841552197,,0.12831514069043548,1.0
large,63,1,2019-11-01,483,0.12979804668864875,0.12979804668864875,0.12041368278812928,,-0.5632654735308144,1.0
large,63,1,2019-12-02,483,0.053917354227376764,0.05391735422737678,0.05805312398654097,,0.10579404534741621,1.0
large,63,1,2020-01-02,484,0.07339935030151433,0.07339935030151433,0.08289557040892469,,0.5113151734072572,1.0
large,63,1,2020-02-03,484,0.286197558867151,0.28619755886715104,0.2749066454465462,,-0.00021271492562258132,1.0
large,63,1,2020-03-02,484,0.6558260936072277,0.6558260936072285,0.6744896266131452,,0.5208901581528762,1.0
large,63,1,2020-04-01,484,0.35819163999089765,0.35819163999089765,0.39520102614991515,,0.2721755966632131,1.0
