ticker,delisted_utc,composite_figi,polygon_name,polygon_found
GLK,2008-02-19,,"GREAT LAKES BANCORP, INC.",True
GNT,,,,False
GP,,,,False
GPU,2010-08-27,,GEORGIA POWER COMPANY PREF SERIES W,True
GR,2012-07-27,,GOODRICH CORP,True
GRA,2021-09-23,BBG00FZLLQL7,W.R. Grace & Co.,True
GRN,,,,False
GSX,2026-02-20,BBG01X7TJRZ7,Tradr 2X Long GS Daily ETF,True
GTE,,,,False
GTW,2007-10-17,,"GATEWAY,INC",True
GWF,2013-01-03,,WELLS FARGO CAP VIII 5.625% TST PFD SECS,True
GX,,,,False
HBOC,,,,False
HCR,2020-07-14,BBG00JS02W13,Hi-Crush Inc. Common Stock,True
HDLM,,,,False
HET,2008-01-29,,HARRAHS ENTERTAINMENT INC,True
HFS,,,,False
HI,2026-02-11,BBG005JS8VQ1,"Hillenbrand, Inc.",True
HM,,,,False
HMA,2023-07-26,BBG015VQ69H1,Heartland Media Acquisition Corp.,True
HNZ,2013-06-10,,HEINZ H.J. CO,True
HPC,2008-11-17,,HERCULES INC,True
HPH,2025-05-05,BBG00MNFN5R6,Highest Performances Holdings Inc. American Depository Shares,True
HSH,2014-08-29,,HILLSHIRE BRANDS CO,True
I,2020-05-20,,INTELSAT S. A.,True
IAC,2026-06-04,BBG00S1LR2C3,IAC Inc. Common Stock,True
IKN,2008-11-03,,IKON OFFICE SOLUTIONS INC.,True
IMNX,,,,False
INCLF,,,,False
JAVA,,,,False
JCP,2020-05-20,BBG007F5Y4F4,"J.C. Penney Company, Inc.",True
JH,2007-05-02,,JOHN H HARLAND,True
JHF,2004-04-29,,JOHN HANCOCK FIN'L SVC'S INC,True
JNS,2017-05-31,,Janus Capital Group Inc,True
JNY,2014-04-09,,JONES GROUP INC COM STK (PA),True
JOS,,,,False
JP,2022-06-27,BBG009DT9V04,"Jupai Holdings Limited American depositary shares, each representing six ordinary shares",True
KATE,2017-07-12,,Kate Spade & Company,True
KG,,,,False
KM,,,,False
KMG,2018-11-16,,KMG Chemicals Inc,True
KRB,2006-01-03,,M B N A CORP,True
KRI,2006-06-28,,KNIGHT-RIDDER INC,True
KSE,2007-08-27,,KEYSPAN CORP,True
KWP,,,,False
LDG,2008-10-31,,LONGS DRUG STORES CORP,True
LDW-B,,,,False
LEHMQ,,,,False
LLX,,,,False
LOR,2019-12-04,,"Lazard World Dividend & Income Fund, Inc.",True
LU,,,,False
LUB,2022-05-31,BBG000BNHFB2,Luby's Inc.,True
LXK,2016-11-30,,Lexmark Intl Inc,True
MAY,2012-08-20,,MALAYSIA FUND INC,True
MBI,,,,False
MCIC,,,,False
MDP,2021-12-02,BBG00JPYZ8L7,Meredith Corporation,True
MDR,2020-01-23,BBG009H6QLK1,McDermott International,True
MEA,2015-09-14,,METALICO INC,True
MEDI,,,,False
MEE,2011-06-02,,MASSEY ENERGY COMPANY,True
MEL,2007-07-02,,MELLON FINANCIAL CORP,True
MER,2009-01-02,,"MERRILL, LYNCH & CO INC",True
MERQ,2005-08-15,,MERCURY INTERACTIVE CORP,True
MFE,2011-03-01,,"MCAFEE, INC.",True
MHS,2012-04-03,,"MEDCO HEALTH SOLUTIONS,INC.",True
MI,,,,False
MII,2007-05-07,,MICROISLET INC.,True
MIL,2016-02-16,,MFC INDL LTD COM (CDA),True
MKG,,,,False
MNR,,,,False
MOB,,,,False
MOLX,2013-12-10,,MOLEX INC,True
MST,,,,False
MTL,2022-12-07,BBG000Q9WGP3,"Mechel PAO American Depository Shares, each representing two ordinary shares (ADSs)",True
MTLQQ,,,,False
MTW,,,,False
MWI,2004-03-01,,MOORE WALLACE INCORPORATED,True
MWW,2016-11-02,,Monster Worldwide Inc,True
MYG,2006-04-03,,MAYTAG CORPORATION,True
MZIAQ,,,,False
NAE,,,,False
NAV,2021-07-02,BBG00JPC10H4,Navistar International,True
NC,,,,False
NCC,2009-01-02,,NATIONAL CITY CORP,True
NCE,,,,False
NCR,,BBG000BMXK89,NCR Corporation,True
NFB,2006-12-01,,"NORTH FORK BANCORPORATION,INC",True
NGH,,,,False
NLC,2011-12-02,,NALCO HOLDING COMPANY,True
NLV,,,,False
NMK,,,,False
NOVL,2011-04-28,,NOVELL INC,True
NRTLQ,,,,False
NSI,,,,False
NSM,2018-08-01,,Nationstar Mortgage Holdings,True
NVLS,2017-07-25,,"Nivalis Therapeutics, Inc. Common Stock",True
NXTL,2005-08-15,,NEXTEL COMMUNICTIONS INC CL-A,True
NYN,,,,False
NYX,2023-03-03,BBG00J0B51J5,"NYIAX, Inc. Common Stock",True
OAT,,,,False
ODP,2025-12-11,BBG00R24W7X2,The ODP Corporation Common Stock,True
OK,,,,False
OM,,,,False
OMX,2013-11-07,,OFFICEMAX INCORPORATED,True
ONE,2022-05-02,BBG00K7T3CY7,"OneSmart International Education Group Limited American Depositary Shares, each representing 1,000 C",True
ORX,,,,False
OWENQ,,,,False
PAC,,,,False
PALM,2010-07-02,,"PALM, INC.",True
PAS,2010-03-01,,PEPSIAMERICAS INC,True
