ticker,delisted_utc,composite_figi,polygon_name,polygon_found
DI,2017-04-03,,PIMCO Diversified Income Active Exchange-Traded Fund,True
DIGI,2005-05-09,,DIGITAL IMPACT INC (DEL),True
DJ,2007-12-14,,DOW JONES COMPANY INC,True
EDS,2015-04-30,,EXCEED COMPANY LTD ORD SHS,True
EOP,2007-02-12,,EQUITY OFFICE PROPS TRUST,True
FBF,2004-04-01,,FLEETBOSTON FINANCIAL,True
FDC,2019-07-30,BBG00BYQMDD3,First Data Corporation,True
FSH,2006-11-10,,FISHER SCIENTIFIC INTL INC(NEW,True
FWLT,2014-12-04,,FOSTER WHEELER AG (SWITZERLAND),True
GDW,2006-10-02,,GOLDEN WEST FINANCIAL CORP,True
GLK,2008-02-19,,"GREAT LAKES BANCORP, INC.",True
GPU,2010-08-27,,GEORGIA POWER COMPANY PREF SERIES W,True
GR,2012-07-27,,GOODRICH CORP,True
GRA,2021-09-23,BBG00FZLLQL7,W.R. Grace & Co.,True
GSX,2026-02-20,BBG01X7TJRZ7,Tradr 2X Long GS Daily ETF,True
GTW,2007-10-17,,"GATEWAY,INC",True
GWF,2013-01-03,,WELLS FARGO CAP VIII 5.625% TST PFD SECS,True
HCR,2020-07-14,BBG00JS02W13,Hi-Crush Inc. Common Stock,True
HET,2008-01-29,,HARRAHS ENTERTAINMENT INC,True
HI,2026-02-11,BBG005JS8VQ1,"Hillenbrand, Inc.",True
HMA,2023-07-26,BBG015VQ69H1,Heartland Media Acquisition Corp.,True
HPC,2008-11-17,,HERCULES INC,True
HPH,2025-05-05,BBG00MNFN5R6,Highest Performances Holdings Inc. American Depository Shares,True
HSH,2014-08-29,,HILLSHIRE BRANDS CO,True
I,2020-05-20,,INTELSAT S. A.,True
IAC,2026-06-04,BBG00S1LR2C3,IAC Inc. Common Stock,True
IKN,2008-11-03,,IKON OFFICE SOLUTIONS INC.,True
JCP,2020-05-20,BBG007F5Y4F4,"J.C. Penney Company, Inc.",True
JH,2007-05-02,,JOHN H HARLAND,True
JHF,2004-04-29,,JOHN HANCOCK FIN'L SVC'S INC,True
JNS,2017-05-31,,Janus Capital Group Inc,True
JNY,2014-04-09,,JONES GROUP INC COM STK (PA),True
JP,2022-06-27,BBG009DT9V04,"Jupai Holdings Limited American depositary shares, each representing six ordinary shares",True
KMG,2018-11-16,,KMG Chemicals Inc,True
KRB,2006-01-03,,M B N A CORP,True
KRI,2006-06-28,,KNIGHT-RIDDER INC,True
KSE,2007-08-27,,KEYSPAN CORP,True
LDG,2008-10-31,,LONGS DRUG STORES CORP,True
LOR,2019-12-04,,"Lazard World Dividend & Income Fund, Inc.",True
LUB,2022-05-31,BBG000BNHFB2,Luby's Inc.,True
LXK,2016-11-30,,Lexmark Intl Inc,True
MAY,2012-08-20,,MALAYSIA FUND INC,True
MDP,2021-12-02,BBG00JPYZ8L7,Meredith Corporation,True
MDR,2020-01-23,BBG009H6QLK1,McDermott International,True
MEA,2015-09-14,,METALICO INC,True
MEE,2011-06-02,,MASSEY ENERGY COMPANY,True
MEL,2007-07-02,,MELLON FINANCIAL CORP,True
MERQ,2005-08-15,,MERCURY INTERACTIVE CORP,True
MFE,2011-03-01,,"MCAFEE, INC.",True
MHS,2012-04-03,,"MEDCO HEALTH SOLUTIONS,INC.",True
MII,2007-05-07,,MICROISLET INC.,True
MIL,2016-02-16,,MFC INDL LTD COM (CDA),True
MOLX,2013-12-10,,MOLEX INC,True
MTL,2022-12-07,BBG000Q9WGP3,"Mechel PAO American Depository Shares, each representing two ordinary shares (ADSs)",True
MWI,2004-03-01,,MOORE WALLACE INCORPORATED,True
MWW,2016-11-02,,Monster Worldwide Inc,True
MYG,2006-04-03,,MAYTAG CORPORATION,True
NAV,2021-07-02,BBG00JPC10H4,Navistar International,True
NCC,2009-01-02,,NATIONAL CITY CORP,True
NCR,,BBG000BMXK89,NCR Corporation,True
NFB,2006-12-01,,"NORTH FORK BANCORPORATION,INC",True
NLC,2011-12-02,,NALCO HOLDING COMPANY,True
NOVL,2011-04-28,,NOVELL INC,True
NSM,2018-08-01,,Nationstar Mortgage Holdings,True
NVLS,2017-07-25,,"Nivalis Therapeutics, Inc. Common Stock",True
ODP,2025-12-11,BBG00R24W7X2,The ODP Corporation Common Stock,True
OMX,2013-11-07,,OFFICEMAX INCORPORATED,True
ONE,2022-05-02,BBG00K7T3CY7,"OneSmart International Education Group Limited American Depositary Shares, each representing 1,000 C",True
PALM,2010-07-02,,"PALM, INC.",True
PAS,2010-03-01,,PEPSIAMERICAS INC,True
PBG,2010-03-01,,PEPSI BOTTLING GROUP,True
PBY,2021-06-15,,Prospect Capital Corporaton 6.25% Notes due 2028,True
PCH,2026-02-03,BBG000BQX2N3,PotlatchDeltic Corporation Common Stock,True
PDG,2006-03-09,,PLACER DOME INC,True
PEL,2011-12-30,,MORGAN STANLEY PROPELS VAL OF S&P 500 INDEX,True
PET,2025-07-30,BBG00ZSDWKS3,Wag! Group Co. Common Stock,True
