Date,vol_managed_qqq,vol_core_svxy,trend_vol_qqq,defensive_ensemble,dual_momentum_gold,dual_momentum_gem,momentum_concentrated,SPY,QQQ,SPY60_BIL40
2008-01-02,-0.020037258115600986,-0.016687208277082522,-0.020037258115600986,0.0062600674315629505,0.0,0.0,0.0,-0.00875515008289729,-0.01581442603680583,-0.004903813808863466
2008-01-03,0.005034888500710541,0.0027476541836281053,0.005034888500710541,0.006563976621586288,0.0,0.0,0.0,-0.0004823910989345537,0.004165859261320959,-0.0005513002600228355
2008-01-04,-0.053050724142092776,-0.04593439530320368,-0.053050724142092776,-0.02443378365219404,0.0,0.0,0.0,-0.024506898408960476,-0.043856095888824886,-0.01479130202940335
2008-01-07,-0.004652646276870254,-0.0032427170483323945,-0.0050484474402216414,-0.005505432026076737,0.0,0.0,0.0,-0.0008488877478414203,-0.004752419441472422,-0.00016005640782994484
2008-01-08,-0.02540456595703145,-0.024789520945653773,-0.0006546640016552585,0.004825280556988013,0.0,0.0,0.0,-0.01614879134608138,-0.02594935139526222,-0.009951140408310933
2008-01-09,0.02086514386038438,0.018779364467978843,-0.0006549874452832505,0.0001890896476414234,0.0,0.0,0.0,0.010511011493623545,0.021312584157571646,0.006044611918060827
2008-01-10,0.001430621078490815,0.0043947918233574945,0.00043736645475256353,-0.0013562399101424035,0.0,0.0,0.0,0.006553473088157569,0.0014612998758576357,0.004107030434795566
2008-01-11,-0.019176371500328054,-0.015576967304498679,0.0004364371334926176,0.0010839737634370657,0.0,0.0,0.0,-0.008068191130880309,-0.019587597103204013,-0.004666339825131138
2008-01-14,0.017062023176459662,0.015020066835550431,0.0008738636663065957,0.007593494627055566,0.0,0.0,0.0,0.008062738569016847,0.017427907867779036,0.005187188607932746
2008-01-15,-0.02701265918873251,-0.029241592444474926,-0.0002181961935505683,-0.007749852676439142,0.0,0.0,0.0,-0.02201291168398145,-0.027574334361204267,-0.013295025487809099
2008-01-16,-0.009590614416643524,-0.010708194424414202,0.0,-0.01125051144863876,0.0,0.0,0.0,-0.00861310444024821,-0.010741230768966603,-0.005167862664148926
2008-01-17,-0.012408950217994704,-0.022545875777452054,-0.0004363822970140374,-0.0007897525648972816,0.0,0.0,0.0,-0.025915543179669598,-0.013897691232460874,-0.015723878826607373
2008-01-18,-0.0011800102265689951,-0.006264142457390257,0.0006549119024943373,0.0032678940215011216,0.0,0.0,0.0,-0.010267728054842551,-0.0013215797865173684,-0.0058986720719077955
2008-01-22,-0.02303540426117865,-0.019756333029046752,0.00043586585188504223,-0.003470064950237375,0.0,0.0,0.0,-0.010146978787394567,-0.025799034584934377,-0.005913840931682723
2008-01-23,-0.0034357855442409685,0.01099219257859961,0.001089874086596332,-0.010161105874162907,0.0,0.0,0.0,0.024020951355830267,-0.0038479876053955087,0.014848520448136691
2008-01-24,0.01825906957186243,0.015652551834001747,0.00043572737345765056,0.008465673942124078,0.0,0.0,0.0,0.008441360940197207,0.02044966791258296,0.0052391075135013844
2008-01-25,-0.01830122042988475,-0.01874848427674878,-0.0010878980875653754,0.005955528790357089,0.0,0.0,0.0,-0.014445275230074883,-0.020485554363212866,-0.00910232437307108
2008-01-28,0.007291912253085843,0.01268957203793662,0.0004354858581780974,0.00275521368464806,0.0,0.0,0.0,0.01653655631077755,0.0077292189427233815,0.010096128129737768
2008-01-29,0.001702406540527605,0.003356389338764303,0.0008715391105147408,-6.462500821950246e-05,0.0,0.0,0.0,0.004953954078743328,0.001804502361598459,0.0033209880914518933
2008-01-30,-0.0008499530104880871,-0.0039751660768428225,0.0004346020118415339,0.0003699229446786706,0.0,0.0,0.0,-0.007357337263845687,-0.0009009259411081327,-0.004240561553570798
2008-01-31,0.016149114444008728,0.01815236522056674,0.0,0.005199283320698388,0.0,0.0,0.0,0.018233961243086405,0.01712882549556838,0.010940376745851842
2008-02-01,0.009076624547713059,0.012581374024905324,-0.00010891840037208222,-0.003013522463599934,0.0,0.0,0.0,0.016088061757571825,0.010193044373484339,0.009609269694394263
2008-02-04,-0.012500638144692874,-0.012828264972917967,0.00021828070436380465,-0.0006014673215144915,0.0,0.0,0.0,-0.012609496148123678,-0.014038209759136722,-0.007478385407128685
2008-02-05,-0.025370258989718886,-0.02640252250893756,-0.0006541741012588975,-0.004358709441139595,0.0,0.0,0.0,-0.02677392100265985,-0.028475976463199548,-0.016326022242099468
2008-02-06,-0.01883484756685121,-0.01466917370114759,0.0008725578914259291,-0.0011955406738487443,0.0,0.0,0.0,-0.008051831604622972,-0.01969320017858167,-0.004482075806203412
2008-02-07,0.006702128235827301,0.006696654752633272,-0.00021776555322738922,-0.007122754752125595,0.0,0.0,0.0,0.006613657684948482,0.007007561516078509,0.0038810883896781335
2008-02-08,0.010871072819077655,0.0038680945431380205,0.0,0.01759562187111929,0.0,0.0,0.0,-0.0064212871078079825,0.01136649566300818,-0.0038527722646847892
2008-02-11,0.01031020884442488,0.008689252477702122,0.00021781298539269578,0.009210014547009097,0.0,0.0,0.0,0.005110486530971459,0.010780071669578506,0.0031534171127399536
2008-02-12,-0.005437187751582295,0.000627977756965944,-0.00021776555322738922,-0.00979856072389273,0.0,0.0,0.0,0.009270693585401668,-0.005673545642612798,0.005475309929950044
2008-02-13,0.022150438527604618,0.01763771548214531,0.00021781298539269578,-0.0028589409724715724,0.0,0.0,0.0,0.010222948108272512,0.0219079828445512,0.0062208940591205845
2008-02-14,-0.018288157965689212,-0.014482098817698933,0.0002180805467952851,0.0010562543161992803,0.0,0.0,0.0,-0.008799371379217491,-0.01808797827959252,-0.00519239060881238
2008-02-15,-0.0034498126719134147,-0.002207903972221315,0.0,0.001426778657318003,0.0,0.0,0.0,-0.00022164399141122448,-0.003412051492299173,-0.00013298639484673468
2008-02-19,-0.0018454003228223334,0.0001067003004051261,0.0,0.005409518150535685,0.0,0.0,0.0,0.002811547604299358,-0.0018252008222472416,0.001686928562579615
2008-02-20,0.004623014443441802,0.00433126944278578,-0.00043575107119075973,0.005066950378441382,0.0,0.0,0.0,0.0029516256348496306,0.004572411557036027,0.0015966749524334743
2008-02-21,-0.009685769335606963,-0.010170850107048449,0.0008723021488290517,0.006156326909869482,0.0,0.0,0.0,-0.008313897751304089,-0.009558430251328742,-0.004639417791250833
2008-02-22,0.004113761676678688,0.005546918025112405,0.0,0.001243126691899412,0.0,0.0,0.0,0.00615765102861543,0.0036767879169392614,0.0036945906171692577
2008-02-25,0.00562287471414851,0.010261161513595948,-0.00043598080886975143,-0.006052470210830314,0.0,0.0,0.0,0.012608929984052164,0.005036732805233202,0.007390965666883397
2008-02-26,0.004559817592642421,0.006769484146715387,0.0006543089440453898,0.010950732364987677,0.0,0.0,0.0,0.007500278839621677,0.003872327483643634,0.004761890881391162
2008-02-27,0.00624295715177591,0.0031724250381004425,0.00021768061773874692,0.00403764925566568,0.0,0.0,0.0,-0.00101167819436343,0.004991756976545858,-0.0005199346695225592
2008-02-28,-0.004800672125932282,-0.008630597413894374,0.0,0.016283670673606282,0.0,0.0,0.0,-0.009767296134099546,-0.0038385316436001515,-0.005860377680459728
2008-02-29,-0.0331872376417827,-0.032819733512015205,0.00021752835970922924,0.0024305050843637854,0.0,0.0,0.0,-0.022283768761183764,-0.026518476757536935,-0.013283249912826567
2008-03-03,-0.00745382456789298,-0.0057434428734127446,0.0003707873663432171,0.005052541580603438,0.0,0.0,0.0,-0.0023908811297446153,-0.00651971986273292,-0.0012862137313094824
2008-03-04,0.006734758878952193,0.0018699211084533625,0.0,-0.010004278224868516,0.0,0.0,0.0,-0.003820376281589266,0.005624737189165119,-0.0022922257689535594
